orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
A-2,all,98,30,1534,515,15,79114,0,0,0,0,0,A,16,Alveolar type 1 cell,58,27,6,6,6,AT1
A-5,all,44,23,1754,1472,9,30037,0,0,0,0,0,A,8,B cell,45,24,2,2,2_4,Artery
A-6,all,32,18,78,295,25,63131,0,0,0,0,0,A,13,Pericyte,41,18,5,5,5_1,Pericyte
A-7,all,74,31,1613,341,21,90754,0,0,0,0,0,A,21,Alveolar macrophage,56,31,8,8,8_1,AlveolarMac
A-8,all,20,14,588,1867,22,31767,0,0,0,0,0,A,6,Alveolar fibroblast 1,43,15,2,2,2_4,Artery
A-9,all,65,34,355,1771,27,105289,0,0,0,0,0,A,21,B cell,57,34,9,9,9,Bcell
A-10,all,45,24,1241,513,33,43514,0,0,0,0,0,A,13,Sox9+/Id2+ epithelial cell,46,24,1,1,1_3,AT2
A-11,all,42,23,1758,289,26,49622,0,0,0,0,0,A,8,Capillary 1 cell,44,22,2,2,2_1,Capillary
A-13,all,38,24,860,75,12,71508,0,0,0,0,0,A,12,Pericyte,41,24,5,5,5_1,Pericyte
A-14,all,52,28,493,760,13,64786,0,0,0,0,0,A,24,Proliferative mesenchymal progenitor cell,51,28,6,6,6,AT1
A-15,all,32,14,528,1406,22,85283,0,0,0,0,0,A,4,Sox9+/Id2+ epithelial cell,44,14,1,1,1_3,AT2
A-18,all,27,20,564,1772,13,57502,0,0,0,0,0,A,3,CD8+ T cell,40,20,7,7,7_2,PatrolMac
A-19,all,28,11,806,1833,19,52008,0,0,0,0,0,A,15,Sox9+/Id2+ epithelial cell,43,11,1,1,1_3,AT2
A-20,all,29,19,235,1673,26,74027,0,0,0,0,0,A,8,B cell,38,19,9,9,9,Bcell
A-21,all,75,16,1352,103,31,72484,0,0,0,0,0,A,4,Alveolar type 1 cell,52,16,6,6,6,AT1
A-22,all,21,14,1941,1352,33,29574,0,0,0,0,0,A,4,Alveolar fibroblast 1,39,14,5,5,5_1,Pericyte
A-24,all,23,15,95,412,18,49545,0,0,0,0,0,A,6,Pericyte,41,15,5,5,5_1,Pericyte
A-25,all,9,3,221,251,39,14109,0,0,0,0,0,A,6,Sox9+/Id2+ epithelial cell,37,4,1,1,1_1,AT2
A-26,all,68,36,237,1798,18,73166,0,0,0,0,0,A,7,Alveolar fibroblast 1,55,37,1,1,1_5_1,LymphaticEndo
A-28,all,53,32,1139,272,18,74120,0,0,0,0,0,A,5,Capillary 1 cell,51,31,2,2,2_1,Capillary
A-29,all,11,7,1173,8,11,20032,0,0,0,0,0,A,2,Natural killer cell,29,7,7,7,7_3,Tcell (CD8)
A-32,all,41,26,1836,435,9,47316,0,0,0,0,0,A,8,B cell,43,26,9,9,9,Bcell
A-33,all,25,17,313,1698,19,74425,0,0,0,0,0,A,6,B cell,44,17,9,9,9,Bcell
A-34,all,43,27,254,343,37,78504,0,0,0,0,0,A,6,Arterial endothelial cell,43,26,2,2,2_1,Capillary
A-35,all,63,11,321,1900,20,51337,0,0,0,0,0,A,57,Alveolar type 2 cell,51,11,1,1,1_3,AT2
A-37,all,72,35,1687,1380,11,76010,0,0,0,0,0,A,8,Capillary 2 cell,50,34,2,2,2_1,Capillary
A-38,all,47,26,796,204,16,84064,0,0,0,0,0,A,8,Capillary 1 cell,48,27,2,2,2_1,Capillary
A-39,all,48,30,497,1641,13,103180,0,0,0,0,0,A,5,Alveolar fibroblast 1,48,30,1,1,1_5_4,pDC
A-40,all,56,26,922,1401,30,68072,0,0,0,0,0,A,7,Natural killer cell,53,26,7,7,7_3,Tcell (CD8)
A-41,all,90,37,1579,432,26,87718,0,0,0,0,0,A,9,Alveolar type 1 cell,63,39,2,2,2_5,DC
A-42,all,9,5,300,1293,21,33654,0,0,0,0,0,A,6,Sox9+/Id2+ epithelial cell,32,6,1,1,1_1,AT2
A-44,all,48,29,344,1660,19,80241,0,0,0,0,0,A,7,Alveolar type 1 cell,48,29,9,9,9,Bcell
A-45,all,67,22,765,152,34,80747,0,0,0,0,0,A,44,Alveolar type 2 cell,55,22,7,7,7_2,PatrolMac
A-46,all,29,16,1769,103,20,57943,0,0,0,0,0,A,6,CD8+ T cell,40,16,7,7,7_4,PatrolMac
A-47,all,18,11,513,988,23,65494,0,0,0,0,0,A,4,Proliferative mesenchymal progenitor cell,37,12,3,3,3_1,SMC
A-48,all,67,36,1069,1223,13,81152,0,0,0,0,0,A,13,Capillary 1 cell,59,36,1,1,1_3,AT2
A-49,all,53,13,220,1712,14,48575,0,0,0,0,0,A,41,Alveolar type 2 cell,50,13,1,1,1_1,AT2
A-51,all,14,7,531,1329,24,38632,0,0,0,0,0,A,3,Alveolar type 1 cell,34,7,6,6,6,AT1
A-52,all,76,15,1211,1818,20,51773,0,0,0,0,0,A,63,Alveolar type 2 cell,52,15,1,1,1_1,AT2
A-53,all,45,13,1616,1210,36,32850,0,0,0,0,0,A,27,Alveolar fibroblast 1,46,13,1,1,1_1,AT2
A-54,all,29,18,412,254,15,34089,0,0,0,0,0,A,5,Capillary 1 cell,43,17,2,2,2_1,Capillary
A-55,all,12,6,59,739,10,24269,0,0,0,0,0,A,4,Mesothelial cell,37,6,3,3,3_3,AdventitialFib
A-60,all,67,41,1118,1770,30,70190,0,0,0,0,0,A,9,B cell,58,41,7,7,7_2,PatrolMac
A-61,all,18,6,123,252,14,30412,0,0,0,0,0,A,15,Alveolar type 2 cell,38,6,1,1,1_1,AT2
A-62,all,33,20,105,1899,33,47870,0,0,0,0,0,A,6,Pericyte,41,20,5,5,5_1,Pericyte
