x
B-2,AlveolarFib
B-3,Capillary
B-4,LymphaticEndo
B-5,Artery
B-6,InterstitialMac
B-7,Pericyte
B-8,LymphaticEndo
B-9,AT1
B-12,Capillary
B-15,LymphaticEndo
B-16,Artery
B-17,AT1
B-18,AlveolarFib
B-19,PatrolMac
B-21,AlveolarFib
B-22,AlveolarFib
B-23,AT1
B-24,Artery
B-26,Pericyte
B-28,Capillary
B-30,ClubEpi
B-31,InflamMac
B-32,PatrolMac
B-33,Capillary
B-34,Capillary
B-35,Capillary
B-36,AdventitialFib
B-37,InflamMac
B-38,Capillary
B-40,SMC
B-41,Pericyte
B-43,PatrolMac
B-44,Artery
B-46,AT1
B-47,Bcell
B-48,Artery
B-49,Capillary
B-50,Artery
B-51,AdventitialFib
B-52,AT1
B-54,PatrolMac
B-57,InflamMac
B-58,AT2
B-59,AlveolarFib
B-60,Pericyte
B-61,AlveolarFib
B-62,Bcell
B-63,Capillary
B-64,AdventitialFib
B-65,AT2
B-66,AdventitialFib
B-67,AlveolarFib
B-68,CiliatedEpi
B-69,LymphaticEndo
B-70,Capillary
B-71,AT1
B-72,AdventitialFib
B-73,Capillary
B-76,AT2
B-78,Artery
B-79,Tcell (CD4)
B-80,Artery
B-81,pDC
B-82,Artery
B-84,AT1
B-85,Capillary
B-87,Artery
B-88,Pericyte
B-93,AT1
B-94,AT1
B-95,Pericyte
B-97,Pericyte
B-99,Artery
B-101,LymphaticEndo
B-104,Pericyte
B-105,CiliatedEpi
B-106,Capillary
B-107,Pericyte
B-110,Neutrophil
B-111,AT2
B-112,InflamMac
B-113,AT1
B-116,CiliatedEpi
B-117,Bcell
B-121,SMC
B-126,Capillary
B-130,AT1
B-131,Bcell
B-132,AlveolarFib
B-133,ClubEpi
B-134,Capillary
B-136,Capillary
B-137,AdventitialFib
B-140,Capillary
B-142,Pericyte
B-143,LymphaticEndo
B-144,Pericyte
B-145,Capillary
B-147,SMC
B-148,CiliatedEpi
B-149,Artery
B-150,AT2
B-151,LymphaticEndo
B-152,InterstitialMac
B-154,AT1
B-155,Capillary
B-159,SMC
B-161,Capillary
B-165,ClubEpi
B-166,Capillary
B-167,Artery
B-170,Capillary
B-171,Pericyte
B-172,Bcell
B-174,AT1
B-178,AT1
B-180,Capillary
B-181,Capillary
B-182,Artery
B-183,AT1
B-185,Capillary
B-186,Artery
B-188,AlveolarFib
B-189,Artery
B-192,InterstitialMac
B-193,AT1
B-195,AlveolarFib
B-197,SMC
B-198,Capillary
B-202,Capillary
B-203,AlveolarFib
B-204,SMC
B-206,Capillary
B-207,AT2
B-208,AT2
B-209,Capillary
B-210,Capillary
B-211,DC
B-213,LymphaticEndo
B-214,AT1
