x
C-2,Bcell
C-4,Bcell
C-7,Pericyte
C-8,PatrolMac
C-9,Capillary
C-10,Bcell
C-11,Pericyte
C-12,DC
C-13,PatrolMac
C-14,AT2
C-17,Pericyte
C-18,PatrolMac
C-20,Pericyte
C-21,AlveolarFib
C-22,Vein
C-23,AdventitialFib
C-24,AT2
C-27,DC
C-28,SMC
C-30,Pericyte
C-31,Bcell
C-32,Pericyte
C-33,Pericyte
C-35,AT2
C-36,Pericyte
C-37,AT2
C-38,Capillary
C-39,Bcell
C-41,DC
C-44,AT1
C-46,DC
C-48,Capillary
C-49,Capillary
C-51,Tcell (CD8)
C-52,AT2
C-54,AT2
C-57,PatrolMac
C-58,Capillary
C-59,Vein
C-60,AlveolarFib
C-61,AT2
C-62,Artery
C-63,InflamMac
C-65,Capillary
C-67,AT1
C-68,Capillary
C-69,InflamMac
C-70,Bcell
C-72,Artery
C-77,AT1
C-80,DC
C-81,Vein
C-82,InflamMac
C-83,AlveolarMac
C-85,AT2
C-92,AT2
C-95,AT1
C-97,DC
C-98,SMC
C-99,Neutrophil
C-100,Tcell (CD8)
C-101,Bcell
C-102,Vein
C-105,SMC
C-106,Pericyte
C-108,Bcell
C-110,LymphaticEndo
C-111,Capillary
C-112,AT2
C-114,SMC
C-115,Bcell
C-117,AT2
C-118,pDC
C-123,Neutrophil
C-124,InflamMac
C-125,Artery
C-127,AT2
C-128,DC
C-130,AlveolarFib
C-131,SMC
C-132,AT2
C-133,Pericyte
C-135,SMC
C-136,Capillary
C-138,AT1
C-140,AT1
C-142,AT2
C-145,Artery
C-146,DC
C-147,PatrolMac
C-148,Capillary
C-149,InflamMac
C-150,AT1
C-152,Pericyte
C-153,AT2
C-154,Pericyte
C-155,SCMF
C-158,AT1
C-160,InflamMac
C-163,AT1
C-165,PatrolMac
C-166,AT2
C-167,AT1
C-168,Bcell
C-169,AT1
C-170,Neutrophil
C-175,PatrolMac
C-177,AT2
C-178,Pericyte
C-179,AlveolarMac
C-180,SMC
C-181,Capillary
