orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
C-2,all,46,19,698,1046,26,89098,0,0,0,0,0,C,23,B cell,46,19,9,9,9,Bcell
C-4,all,36,21,1713,1334,17,83804,0,0,0,0,0,C,13,B cell,39,21,9,9,9,Bcell
C-7,all,14,10,454,1340,30,55067,0,0,0,0,0,C,8,Pericyte,31,10,5,5,5_3,Pericyte
C-8,all,41,28,1189,899,31,88904,0,0,0,0,0,C,6,B cell,41,28,7,7,7_2,PatrolMac
C-9,all,35,23,935,121,20,74403,0,0,0,0,0,C,8,CD8+ T cell,40,22,2,2,2_1,Capillary
C-10,all,19,12,965,1471,37,31036,0,0,0,0,0,C,8,B cell,36,12,9,9,9,Bcell
C-11,all,19,12,211,1054,22,71502,0,0,0,0,0,C,8,Pericyte,38,12,5,5,5_1,Pericyte
C-12,all,46,24,585,1673,10,53032,0,0,0,0,0,C,10,CD4+ T cell,53,26,2,2,2_5,DC
C-13,all,37,25,499,963,35,64324,0,0,0,0,0,C,4,T regulatory cell,40,25,7,7,7_4,PatrolMac
C-14,all,40,12,1523,1771,16,50370,0,0,0,0,0,C,27,Alveolar type 2 cell,45,12,1,1,1_3,AT2
C-17,all,32,20,506,270,18,60484,0,0,0,0,0,C,13,Pericyte,42,20,5,5,5_1,Pericyte
C-18,all,31,19,1256,729,35,48425,0,0,0,0,0,C,4,B cell,40,19,7,7,7_2,PatrolMac
C-20,all,13,6,1559,1179,25,30912,0,0,0,0,0,C,3,Pericyte,30,6,5,5,5_1,Pericyte
C-21,all,30,19,486,312,8,40393,0,0,0,0,0,C,4,Sox9+/Id2+ epithelial cell,40,20,1,1,1_4_1,AlveolarFib
C-22,all,24,16,1111,665,17,38805,0,0,0,0,0,C,10,Alveolar type 2 cell,43,16,2,2,2_3,Vein
C-23,all,26,14,1714,1769,33,72124,0,0,0,0,0,C,4,Proliferative mesenchymal progenitor cell,45,14,3,3,3_4,AdventitialFib
C-24,all,48,10,646,1447,13,51079,0,0,0,0,0,C,39,Alveolar type 2 cell,48,10,1,1,1_1,AT2
C-27,all,27,18,155,1018,13,76717,0,0,0,0,0,C,6,Inflammatory monocyte,39,20,2,2,2_5,DC
C-28,all,40,26,1456,959,13,68303,0,0,0,0,0,C,12,Alveolar fibroblast 1,43,27,3,3,3_1,SMC
C-30,all,39,21,1090,436,30,75607,0,0,0,0,0,C,26,Pericyte,42,21,5,5,5_1,Pericyte
C-31,all,9,7,1425,814,10,25805,0,0,0,0,0,C,3,B cell,24,8,9,9,9,Bcell
C-32,all,42,25,804,294,23,108073,0,0,0,0,0,C,11,Alveolar fibroblast 1,43,25,5,5,5_3,Pericyte
C-33,all,35,15,525,1031,37,31829,0,0,0,0,0,C,19,Sox9+/Id2+ epithelial cell,44,15,5,5,5_1,Pericyte
C-35,all,58,9,1266,170,36,41822,0,0,0,0,0,C,51,Alveolar type 2 cell,50,9,1,1,1_1,AT2
C-36,all,19,15,1046,1917,33,67375,0,0,0,0,0,C,2,Pericyte,38,15,5,5,5_3,Pericyte
C-37,all,48,12,1676,1166,25,48358,0,0,0,0,0,C,35,Alveolar type 2 cell,48,12,1,1,1_1,AT2
C-38,all,29,23,1562,1047,37,69960,0,0,0,0,0,C,4,Capillary 1 cell,41,22,2,2,2_1,Capillary
C-39,all,23,10,1908,461,18,45605,0,0,0,0,0,C,3,Alveolar type 1 cell,42,10,9,9,9,Bcell
C-41,all,48,30,421,1101,36,64782,0,0,0,0,0,C,13,Inflammatory monocyte,53,32,2,2,2_5,DC
C-44,all,28,19,169,1162,14,51318,0,0,0,0,0,C,7,Arterial endothelial cell,40,19,6,6,6,AT1
C-46,all,29,18,929,86,21,110869,0,0,0,0,0,C,4,Endothelial progenitor cell,41,20,2,2,2_5,DC
C-48,all,53,22,1063,641,17,100024,0,0,0,0,0,C,13,Alveolar fibroblast 1,52,22,2,2,2_1,Capillary
C-49,all,28,20,1556,678,15,72502,0,0,0,0,0,C,5,B cell,42,20,2,2,2_1,Capillary
C-51,all,41,18,745,1558,17,60670,0,0,0,0,0,C,2,Natural killer cell,44,18,7,7,7_3,Tcell (CD8)
C-52,all,56,14,1711,1171,26,49482,0,0,0,0,0,C,47,Alveolar type 2 cell,51,14,1,1,1_3,AT2
C-54,all,99,27,872,1029,21,107669,0,0,0,0,0,C,61,Alveolar type 2 cell,59,26,1,1,1_3,AT2
C-57,all,38,22,175,897,18,60890,0,0,0,0,0,C,5,Natural killer cell,42,22,7,7,7_2,PatrolMac
C-58,all,21,9,1756,259,14,63098,0,0,0,0,0,C,14,Sox9+/Id2+ epithelial cell,43,9,2,2,2_1,Capillary
C-59,all,48,28,1765,1519,20,94962,0,0,0,0,0,C,19,Alveolar type 2 cell,48,28,2,2,2_3,Vein
C-60,all,25,15,139,450,12,26928,0,0,0,0,0,C,10,AT1/AT2,44,16,1,1,1_4_3,AlveolarFib
C-61,all,9,3,541,373,12,16891,0,0,0,0,0,C,6,Sox9+/Id2+ epithelial cell,37,4,1,1,1_1,AT2
C-62,all,20,16,1291,869,37,39644,0,0,0,0,0,C,5,Alveolar fibroblast 1,42,17,2,2,2_4,Artery
C-63,all,31,22,506,95,11,35405,0,0,0,0,0,C,2,Natural killer cell,40,23,2,2,2_2,InflamMac
C-65,all,28,17,1341,403,20,57834,0,0,0,0,0,C,3,Endothelial progenitor cell,39,18,2,2,2_1,Capillary
C-67,all,46,20,692,1575,13,65890,0,0,0,0,0,C,12,Alveolar type 1 cell,47,20,6,6,6,AT1
C-68,all,68,41,1100,498,29,101239,0,0,0,0,0,C,5,Capillary 1 cell,60,40,2,2,2_1,Capillary
C-69,all,52,21,596,1074,23,91743,0,0,0,0,0,C,17,Sox9+/Id2+ epithelial cell,52,22,2,2,2_2,InflamMac
C-70,all,14,7,1742,1810,37,35672,0,0,0,0,0,C,6,B cell,29,7,9,9,9,Bcell
C-72,all,77,38,466,1005,25,105681,0,0,0,0,0,C,14,Alveolar fibroblast 1,55,39,2,2,2_4,Artery
C-77,all,15,13,1669,670,12,38658,0,0,0,0,0,C,2,Alveolar type 1 cell,32,13,6,6,6,AT1
C-80,all,44,27,1749,665,23,87018,0,0,0,0,0,C,6,Arterial endothelial cell,47,29,2,2,2_5,DC
C-81,all,90,35,947,660,33,104714,0,0,0,0,0,C,37,Sox9+/Id2+ epithelial cell,60,35,2,2,2_3,Vein
C-82,all,22,15,1230,1624,31,40138,0,0,0,0,0,C,2,Alveolar type 2 cell,43,16,2,2,2_2,InflamMac
C-83,all,55,33,597,90,25,92078,101,101,0,1,0,C,8,Alveolar macrophage,54,33,8,8,8_1,AlveolarMac
C-85,all,57,24,1874,70,21,119574,0,0,0,0,0,C,13,Alveolar type 2 cell,54,24,1,1,1_3,AT2
C-92,all,77,15,1333,946,17,45966,0,0,0,0,0,C,62,Alveolar type 2 cell,51,15,1,1,1_3,AT2
C-95,all,113,27,934,895,17,93167,0,0,0,0,0,C,28,Alveolar type 1 cell,51,15,6,6,6,AT1
C-97,all,18,11,13,1216,15,41627,0,0,0,0,0,C,5,Alveolar fibroblast 1,39,13,2,2,2_5,DC
C-98,all,66,25,1909,528,24,48755,0,0,0,0,0,C,3,Alveolar fibroblast 1,56,26,3,3,3_1,SMC
C-99,all,14,11,109,1529,18,34712,0,0,0,0,0,C,3,Sox9+/Id2+ epithelial cell,28,12,1,1,1_6_2,Neutrophil
C-100,all,41,25,1530,1516,34,98175,0,0,0,0,0,C,9,Alveolar type 2 cell,42,25,7,7,7_3,Tcell (CD8)
C-101,all,20,12,1369,294,36,51470,0,0,0,0,0,C,5,Alveolar fibroblast 1,40,12,9,9,9,Bcell
C-102,all,23,12,1521,674,7,21312,0,0,0,0,0,C,4,Capillary 1 cell,42,12,2,2,2_3,Vein
C-105,all,16,7,369,181,13,25451,0,0,0,0,0,C,8,Alveolar fibroblast 1,37,8,3,3,3_1,SMC
C-106,all,30,9,875,1440,12,47915,0,0,0,0,0,C,24,Alveolar fibroblast 1,43,9,5,5,5_1,Pericyte
C-108,all,19,13,1411,1385,34,52409,0,0,0,0,0,C,5,B cell,37,13,9,9,9,Bcell
C-110,all,41,26,756,1191,27,87159,0,0,0,0,0,C,15,Alveolar fibroblast 1,43,26,1,1,1_5_1,LymphaticEndo
C-111,all,18,15,1471,813,16,77901,0,0,0,0,0,C,2,Endothelial progenitor cell,40,16,2,2,2_1,Capillary
C-112,all,25,10,1834,43,34,46449,0,0,0,0,0,C,17,Alveolar type 2 cell,45,10,1,1,1_1,AT2
C-114,all,42,20,1759,1661,26,92450,0,0,0,0,0,C,7,Alveolar fibroblast 1,45,21,3,3,3_1,SMC
C-115,all,18,11,1875,721,36,32111,0,0,0,0,0,C,4,Capillary 1 cell,39,11,9,9,9,Bcell
C-117,all,65,15,265,946,23,54374,0,0,0,0,0,C,56,Alveolar type 2 cell,52,15,1,1,1_3,AT2
C-118,all,20,16,1581,511,36,28858,0,0,0,0,0,C,2,Sox9+/Id2+ epithelial cell,39,16,2,2,2_6,pDC
C-123,all,48,17,1300,1711,20,56376,0,0,0,0,0,C,4,Sox9+/Id2+ epithelial cell,49,18,1,1,1_6_2,Neutrophil
C-124,all,26,19,598,417,31,38865,0,0,0,0,0,C,2,CD8+ T cell,40,20,2,2,2_2,InflamMac
C-125,all,17,13,533,229,35,34647,0,0,0,0,0,C,5,Arterial endothelial cell,37,14,2,2,2_4,Artery
C-127,all,26,6,1810,1744,32,51289,0,0,0,0,0,C,19,Sox9+/Id2+ epithelial cell,45,6,1,1,1_3,AT2
C-128,all,28,13,1001,1423,33,34322,0,0,0,0,0,C,20,Pericyte,40,15,2,2,2_5,DC
C-130,all,43,25,732,1407,19,87436,0,0,0,0,0,C,8,Alveolar fibroblast 1,43,25,1,1,1_4_1,AlveolarFib
C-131,all,21,14,701,925,16,47892,0,0,0,0,0,C,2,Proliferative mesenchymal progenitor cell,42,15,3,3,3_1,SMC
C-132,all,48,13,1729,1510,24,74996,0,0,0,0,0,C,34,AT1/AT2,48,13,1,1,1_1,AT2
C-133,all,67,19,844,1480,11,68021,0,0,0,0,0,C,43,Pericyte,56,19,5,5,5_3,Pericyte
C-135,all,30,24,1622,1460,21,56893,0,0,0,0,0,C,3,Inflammatory monocyte,38,25,3,3,3_5,SMC
C-136,all,43,25,846,289,34,58043,0,0,0,0,0,C,11,Alveolar fibroblast 1,44,25,2,2,2_1,Capillary
C-138,all,65,34,1037,725,22,96987,0,0,0,0,0,C,5,Alveolar type 1 cell,58,34,6,6,6,AT1
C-140,all,76,24,811,1034,18,89707,0,0,0,0,0,C,28,Alveolar type 1 cell,52,24,6,6,6,AT1
C-142,all,24,10,1715,470,24,68310,0,0,0,0,0,C,17,Alveolar type 2 cell,43,10,1,1,1_3,AT2
C-145,all,27,17,40,900,29,41738,0,0,0,0,0,C,6,Arterial endothelial cell,41,18,2,2,2_4,Artery
C-146,all,63,31,313,993,31,72130,0,0,0,0,0,C,13,Inflammatory monocyte,55,33,2,2,2_5,DC
C-147,all,6,4,680,1213,38,20485,0,0,0,0,0,C,2,Mast cell,21,7,7,7,7_4,PatrolMac
C-148,all,69,25,813,130,31,90105,0,0,0,0,0,C,5,Alveolar type 1 cell,54,25,2,2,2_1,Capillary
C-149,all,11,9,1922,1828,12,51716,0,0,0,0,0,C,2,Inflammatory monocyte,36,10,2,2,2_2,InflamMac
C-150,all,58,22,88,875,20,76725,0,0,0,0,0,C,15,Alveolar type 1 cell,52,22,6,6,6,AT1
C-152,all,33,21,261,905,32,67968,0,0,0,0,0,C,6,Pericyte,39,21,5,5,5_1,Pericyte
C-153,all,91,33,1276,1672,21,138634,0,0,0,0,0,C,53,Alveolar type 2 cell,60,31,1,1,1_1,AT2
C-154,all,33,17,812,488,34,48252,0,0,0,0,0,C,13,Pericyte,42,17,5,5,5_1,Pericyte
C-155,all,47,28,1786,580,13,57238,0,0,0,0,0,C,14,Alveolar type 2 cell,47,28,3,3,3_6,SCMF
C-158,all,12,9,1878,579,26,42366,0,0,0,0,0,C,4,Alveolar type 1 cell,33,9,6,6,6,AT1
C-160,all,12,11,182,869,37,19615,0,0,0,0,0,C,2,Inflammatory monocyte,26,12,2,2,2_2,InflamMac
C-163,all,23,13,181,1262,29,28208,0,0,0,0,0,C,3,Alveolar type 1 cell,39,13,6,6,6,AT1
C-165,all,56,12,1306,957,16,27339,0,0,0,0,0,C,46,Alveolar type 2 cell,51,12,7,7,7_2,PatrolMac
C-166,all,20,10,1251,204,37,25305,0,0,0,0,0,C,5,Alveolar type 2 cell,40,10,1,1,1_3,AT2
C-167,all,86,36,951,757,24,100657,0,0,0,0,0,C,25,Sox9+/Id2+ epithelial cell,61,36,6,6,6,AT1
C-168,all,7,5,1406,837,6,15451,0,0,0,0,0,C,4,B cell,23,7,9,9,9,Bcell
C-169,all,16,8,1930,125,37,25711,0,0,0,0,0,C,5,Alveolar type 1 cell,35,8,6,6,6,AT1
C-170,all,27,14,1247,905,30,61955,0,0,0,0,0,C,3,Neutrophil,40,14,1,1,1_6_2,Neutrophil
C-175,all,10,10,772,1787,31,50265,0,0,0,0,0,C,2,Natural killer cell,31,10,7,7,7_2,PatrolMac
C-177,all,44,18,1354,913,18,49960,0,0,0,0,0,C,28,Inflammatory monocyte,46,18,1,1,1_1,AT2
C-178,all,22,11,1117,1304,37,38570,0,0,0,0,0,C,15,Pericyte,42,11,5,5,5_3,Pericyte
C-179,all,55,27,526,1450,13,93246,0,0,0,0,0,C,17,Alveolar macrophage,53,27,8,8,8_1,AlveolarMac
C-180,all,45,27,1317,185,34,78312,0,0,0,0,0,C,6,Alveolar type 1 cell,47,28,3,3,3_1,SMC
C-181,all,20,14,1243,489,38,45580,0,0,0,0,0,C,6,Capillary 1 cell,35,14,2,2,2_1,Capillary
C-183,all,22,7,62,1503,11,26727,0,0,0,0,0,C,15,Sox9+/Id2+ epithelial cell,43,8,3,3,3_1,SMC
C-184,all,40,23,926,1586,13,91365,56,0,56,0,1,C,7,Alveolar fibroblast 1,48,24,2,2,2_4,Artery
C-186,all,48,13,589,438,10,30009,0,0,0,0,0,C,34,Sox9+/Id2+ epithelial cell,48,13,1,1,1_1,AT2
C-188,all,42,9,1108,1273,34,23453,0,0,0,0,0,C,36,Alveolar type 2 cell,46,9,1,1,1_1,AT2
C-193,all,40,25,993,1115,32,65991,0,0,0,0,0,C,2,B cell,43,25,2,2,2_6,pDC
C-194,all,11,10,1727,1942,40,22758,0,0,0,0,0,C,2,Inflammatory monocyte,29,11,2,2,2_2,InflamMac
C-195,all,19,15,1745,374,33,53525,0,0,0,0,0,C,3,Alveolar fibroblast 1,40,16,2,2,2_2,InflamMac
C-196,all,9,8,1673,1396,11,23904,0,0,0,0,0,C,2,Capillary 1 cell,27,9,2,2,2_3,Vein
C-197,all,31,9,1565,1876,17,44063,0,0,0,0,0,C,6,Alveolar type 1 cell,43,9,6,6,6,AT1
C-198,all,36,17,1847,102,18,97408,0,0,0,0,0,C,8,Alveolar type 1 cell,44,17,1,1,1_5_1,LymphaticEndo
C-200,all,30,22,641,432,23,56481,0,0,0,0,0,C,5,Capillary 2 cell,38,22,1,1,1_3,AT2
C-202,all,35,22,1595,1210,17,76704,0,0,0,0,0,C,15,Pericyte,40,22,5,5,5_1,Pericyte
C-203,all,10,4,203,1947,37,14520,0,0,0,0,0,C,7,Sox9+/Id2+ epithelial cell,36,4,1,1,1_1,AT2
C-204,all,7,6,814,1785,24,43458,0,0,0,0,0,C,2,Alveolar fibroblast 1,29,8,2,2,2_3,Vein
C-205,all,44,27,984,757,18,66567,0,0,0,0,0,C,9,Inflammatory monocyte,45,27,5,5,5_1,Pericyte
C-206,all,41,26,1078,1273,31,49241,0,0,0,0,0,C,9,Venous endothelial cell,43,28,2,2,2_5,DC
C-209,all,19,11,1827,1706,22,59626,0,0,0,0,0,C,3,Sox9+/Id2+ epithelial cell,40,11,6,6,6,AT1
C-212,all,67,22,617,1118,31,78779,0,0,0,0,0,C,7,Alveolar type 1 cell,54,22,6,6,6,AT1
C-213,all,14,11,1731,494,11,47147,0,0,0,0,0,C,5,Pericyte,33,11,5,5,5_3,Pericyte
