x
D-2,AdventitialFib
D-3,AT2
D-4,AT2
D-6,Vein
D-7,AT1
D-8,ClubEpi
D-9,Capillary
D-10,Pericyte
D-11,AlveolarMac
D-12,Capillary
D-16,AT1
D-18,InflamMac
D-19,SMC
D-20,Pericyte
D-21,AdventitialFib
D-22,Pericyte
D-23,Bcell
D-24,Artery
D-25,Pericyte
D-27,Bcell
D-28,Tcell (CD8)
D-30,AT2
D-31,AT1
D-34,PatrolMac
D-36,SMC
D-37,SCMF
D-39,Capillary
D-40,AdventitialFib
D-41,AdventitialFib
D-42,InterstitialMac
D-44,LymphaticEndo
D-45,AT1
D-46,Capillary
D-48,Capillary
D-49,DC
D-50,AT2
D-53,Pericyte
D-54,AT1
D-55,Artery
D-57,SCMF
D-58,AT2
D-59,AT1
D-60,LymphaticEndo
D-61,SCMF
D-62,Pericyte
D-63,AT1
D-65,Vein
D-66,Vein
D-67,AT2
D-68,DC
D-69,Tcell (CD8)
D-70,Tcell (CD8)
D-71,SMC
D-72,Pericyte
D-73,AT2
D-76,SMC
D-77,Neutrophil
D-78,AT2
D-82,pDC
D-83,AT1
D-84,AT2
D-86,Pericyte
D-89,Artery
D-90,InterstitialMac
D-91,AT2
D-92,AT2
D-93,Vein
D-94,AT1
D-95,AT2
D-97,PatrolMac
D-102,AT2
D-105,DC
D-106,Bcell
D-107,AdventitialFib
D-108,AT1
D-109,Artery
D-110,AT2
D-111,Tcell (CD8)
D-112,AT2
D-113,Bcell
D-114,SMC
D-116,Pericyte
D-117,Pericyte
D-118,AT1
D-119,SMC
D-121,Capillary
D-122,SMC
D-123,AT2
D-124,AT1
D-125,AT1
D-127,AlveolarMac
D-128,AT2
D-129,Pericyte
D-130,AT1
D-131,Bcell
D-132,Bcell
D-133,AT2
D-135,AT1
D-137,Artery
D-139,DC
D-140,Capillary
D-141,SMC
D-142,AT2
D-143,AT1
D-144,AT2
D-145,SMC
D-146,Tcell (CD8)
D-147,LymphaticEndo
D-150,Pericyte
D-151,DC
D-152,SCMF
D-153,LymphaticEndo
D-154,SMC
D-155,AT1
D-157,AT1
D-158,Capillary
D-159,PatrolMac
D-161,AdventitialFib
D-162,AT1
D-163,AT2
D-164,Bcell
D-165,InflamMac
D-167,SCMF
D-168,AT2
D-169,Neutrophil
D-171,AT2
D-173,AT2
D-174,AT2
D-177,SMC
D-178,pDC
D-179,AT2
D-180,Capillary
D-182,Capillary
D-186,AT2
D-190,AdventitialFib
D-194,Artery
D-195,AT1
D-196,SMC
D-199,PatrolMac
D-200,Capillary
D-201,AlveolarMac
D-204,Capillary
D-205,Capillary
D-206,Artery
D-207,Vein
D-208,AlveolarFib
D-209,Tcell (CD4)
D-210,Pericyte
D-211,AlveolarFib
D-212,Artery
D-213,AT1
D-214,Pericyte
D-217,Vein
D-218,InterstitialMac
D-219,Capillary
D-221,AT2
D-222,SMC
D-224,Pericyte
D-225,PatrolMac
D-226,Vein
D-227,AT1
D-228,Neutrophil
D-231,LymphaticEndo
D-234,SMC
D-236,Artery
D-237,InflamMac
D-239,Pericyte
D-240,Vein
D-241,SCMF
D-242,DC
D-243,AT2
D-245,AlveolarFib
D-247,AT2
D-248,PatrolMac
D-250,Capillary
D-251,AT2
D-252,Artery
D-253,Pericyte
D-254,Capillary
D-255,Artery
D-260,AT1
D-262,AT1
D-264,AT2
D-265,Capillary
D-266,AT2
D-270,Vein
D-272,Capillary
D-273,AT1
D-274,DC
D-275,pDC
D-276,AT2
D-278,AT2
D-279,AT1
D-281,SMC
D-284,Pericyte
D-286,Pericyte
D-288,Artery
D-290,Pericyte
D-292,SMC
D-293,Vein
D-294,Capillary
D-296,AT2
D-299,Capillary
D-301,AT1
D-303,AT1
D-305,AT2
D-309,SCMF
D-311,SMC
D-312,Capillary
D-314,Capillary
D-315,AlveolarMac
D-316,Artery
D-317,AT2
D-318,AT2
D-319,InterstitialMac
D-322,AT1
D-326,PatrolMac
D-332,SMC
D-333,AlveolarFib
D-335,Pericyte
D-337,pDC
D-342,InterstitialMac
D-343,SMC
D-344,DC
D-345,AT2
D-346,Artery
D-347,Capillary
D-348,AT1
D-349,Pericyte
D-352,AT1
D-353,Tcell (CD8)
D-355,DC
D-356,AT2
D-357,AT1
D-358,pDC
D-359,DC
D-361,AT1
D-364,Capillary
D-365,DC
D-368,AT1
D-369,AT2
D-370,SMC
D-371,AT1
D-372,AT1
D-374,Capillary
D-375,SMC
D-378,SMC
D-379,AT1
D-380,AdventitialFib
D-382,DC
D-383,Vein
D-385,Bcell
D-387,Capillary
D-388,Artery
D-389,DC
D-392,AT2
D-393,Capillary
D-394,Capillary
D-396,InterstitialMac
D-397,Capillary
D-398,AT1
D-399,Pericyte
D-401,DC
D-402,Capillary
D-403,Artery
D-404,AT2
D-409,Vein
D-410,DC
D-417,Capillary
D-427,AT1
D-430,Capillary
D-431,AlveolarMac
D-432,Tcell (CD8)
D-433,AT2
D-434,CiliatedEpi
D-435,LymphaticEndo
D-436,Artery
D-437,ClubEpi
D-438,AlveolarMac
D-439,Pericyte
D-441,AdventitialFib
D-442,Bcell
D-443,PatrolMac
D-444,Capillary
D-445,AdventitialFib
D-447,Bcell
D-449,Capillary
D-450,AdventitialFib
D-451,Pericyte
D-454,Pericyte
D-457,SMC
D-458,Bcell
D-459,Bcell
D-461,Capillary
D-462,Artery
D-464,Capillary
D-466,ClubEpi
D-469,Capillary
D-470,SMC
D-471,AlveolarMac
D-472,InterstitialMac
D-473,Vein
D-475,InflamMac
D-476,Pericyte
D-477,AT2
D-478,Pericyte
D-479,AT1
D-480,pDC
D-481,Capillary
D-482,LymphaticEndo
D-485,AT2
D-487,AT1
D-488,Tcell (CD8)
D-489,AlveolarFib
D-491,AdventitialFib
D-492,InflamMac
D-494,DC
D-495,SCMF
D-496,AT1
D-498,AT1
D-501,AT1
D-503,Pericyte
D-504,Capillary
D-508,Pericyte
D-510,Pericyte
D-511,AlveolarFib
D-512,SMC
D-514,AlveolarFib
D-515,Pericyte
D-516,AT1
D-517,InterstitialMac
D-518,AT1
D-519,AlveolarFib
D-520,Capillary
D-521,Pericyte
D-522,SMC
D-523,Pericyte
D-526,Artery
D-527,AT2
D-528,Capillary
D-529,SMC
D-531,InterstitialMac
D-533,DC
D-534,InterstitialMac
D-536,Capillary
D-537,SCMF
D-542,Vein
D-544,AlveolarMac
D-545,Artery
D-546,SMC
D-547,Artery
D-549,Artery
D-550,Capillary
D-551,AT2
D-552,AT1
D-553,LymphaticEndo
D-554,AT2
D-555,AT1
D-556,LymphaticEndo
D-557,AdventitialFib
D-558,SMC
D-560,AlveolarFib
D-561,AT2
D-562,Artery
D-567,AlveolarMac
D-571,Artery
D-572,ClubEpi
D-574,DC
D-576,SMC
D-577,AT2
D-578,Capillary
D-580,AT2
D-581,AT2
D-582,SMC
D-583,AlveolarFib
D-584,AT2
D-585,AT2
D-587,Vein
D-588,pDC
D-589,InflamMac
D-590,Pericyte
D-594,Capillary
D-597,AT2
D-598,SMC
D-600,Capillary
D-601,SMC
D-602,AT1
D-603,SMC
D-604,Pericyte
D-605,AT2
D-606,AT2
D-609,Pericyte
D-610,AlveolarFib
D-611,AT1
D-615,AT2
D-616,AdventitialFib
D-618,LymphaticEndo
D-619,AT2
D-621,Capillary
D-622,SMC
D-623,Pericyte
D-624,Capillary
D-625,Bcell
D-627,DC
D-628,ClubEpi
D-629,Capillary
D-630,CiliatedEpi
D-634,Artery
D-635,Capillary
D-637,InflamMac
D-638,DC
D-640,AT2
D-641,Pericyte
D-642,SMC
D-644,Capillary
D-647,LymphaticEndo
D-650,Artery
D-656,Capillary
D-658,Capillary
D-659,Artery
D-660,Pericyte
D-663,AT2
D-664,Bcell
D-665,AT1
D-671,LymphaticEndo
D-672,SMC
D-674,SCMF
D-677,LymphaticEndo
D-680,AT1
D-683,Bcell
D-687,SMC
D-688,AdventitialFib
D-691,AdventitialFib
D-699,Bcell
D-700,AlveolarMac
D-702,CiliatedEpi
D-706,SMC
D-707,LymphaticEndo
D-708,SMC
D-712,SMC
D-714,InterstitialMac
D-715,Pericyte
D-716,AT2
D-721,AlveolarFib
D-722,SMC
D-724,Bcell
D-725,AT2
D-726,SMC
D-734,Vein
D-735,AT1
D-736,Bcell
D-737,Pericyte
D-739,AT1
D-740,DC
D-741,AlveolarMac
D-742,Pericyte
D-743,SMC
D-744,AT1
D-745,Capillary
D-746,Pericyte
D-747,AT2
D-748,Tcell (CD8)
D-749,DC
D-750,AlveolarMac
D-751,Pericyte
D-753,SMC
D-754,LymphaticEndo
D-756,AlveolarFib
D-758,Capillary
D-759,AT2
D-760,AT1
D-761,AdventitialFib
D-762,PatrolMac
D-763,AT2
D-764,AT2
D-765,InflamMac
D-766,SCMF
D-767,AT1
D-768,Bcell
D-769,AlveolarMac
D-770,InterstitialMac
D-771,SMC
D-772,Capillary
D-773,AlveolarFib
D-775,AT1
D-776,Capillary
D-777,Vein
D-780,LymphaticEndo
D-782,Artery
D-783,LymphaticEndo
D-784,AT1
D-785,DC
D-787,AT1
D-788,Bcell
D-789,Artery
D-791,Artery
D-792,Pericyte
D-793,DC
D-794,LymphaticEndo
D-795,Bcell
D-799,Capillary
D-803,LymphaticEndo
D-804,Capillary
D-805,SMC
D-806,AlveolarFib
D-807,AT2
D-808,AlveolarFib
D-816,AlveolarFib
D-818,PatrolMac
D-819,InterstitialMac
D-820,AT1
D-822,AT1
D-825,AT1
D-826,Pericyte
D-829,AlveolarMac
D-830,AlveolarMac
D-832,AT2
D-834,SMC
D-836,Pericyte
D-837,Bcell
D-839,Artery
D-840,Pericyte
D-841,Artery
D-842,PatrolMac
D-844,AT2
D-845,PatrolMac
D-847,Pericyte
D-848,AT1
D-852,AT1
D-853,Pericyte
D-855,InterstitialMac
D-856,AdventitialFib
D-857,Artery
D-858,AT1
D-859,Bcell
D-861,Capillary
D-862,PatrolMac
D-863,pDC
D-864,Artery
D-865,Artery
D-867,Tcell (CD8)
D-868,Capillary
D-870,Pericyte
D-871,Capillary
D-873,Pericyte
D-874,AdventitialFib
D-876,AT1
D-877,AT1
D-878,InflamMac
D-879,Capillary
D-881,AT1
D-883,AT2
D-884,Artery
D-885,AT1
D-889,SMC
D-891,Capillary
D-892,Capillary
D-893,Vein
D-894,SMC
D-895,InflamMac
D-896,LymphaticEndo
D-897,Artery
D-898,Capillary
D-900,DC
D-901,AT1
D-902,AT1
D-903,AT1
D-904,Capillary
D-907,Vein
D-908,AT2
D-909,Artery
D-914,AT1
D-915,Artery
