orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
D-2,all,19,16,1845,35,28,37177,0,0,0,0,0,D,2,Endothelial progenitor cell,39,16,3,3,3_4,AdventitialFib
D-3,all,90,17,306,862,12,69622,0,0,0,0,0,D,72,AT1/AT2,54,16,1,1,1_1,AT2
D-4,all,94,23,489,1744,13,75312,0,0,0,0,0,D,67,CD8+ T cell,55,21,1,1,1_1,AT2
D-6,all,28,21,211,1481,28,73720,0,0,0,0,0,D,7,Alveolar type 1 cell,39,21,2,2,2_3,Vein
D-7,all,69,22,1722,94,21,87586,0,0,0,0,0,D,10,Alveolar type 1 cell,54,22,6,6,6,AT1
D-8,all,28,17,535,604,12,63829,0,0,0,0,0,D,7,Arterial endothelial cell,40,17,4,4,4_1_1,ClubEpi
D-9,all,28,15,1203,1393,11,79043,0,0,0,0,0,D,5,Ciliated cell,42,15,2,2,2_1,Capillary
D-10,all,22,11,1770,138,20,72022,0,0,0,0,0,D,6,Pericyte,38,11,5,5,5_1,Pericyte
D-11,all,35,24,405,1784,35,57279,0,0,0,0,0,D,9,Alveolar macrophage,41,24,8,8,8_1,AlveolarMac
D-12,all,28,20,1667,132,14,49687,0,0,0,0,0,D,3,Capillary 1 cell,38,20,2,2,2_1,Capillary
D-16,all,82,18,108,921,14,68402,0,0,0,0,0,D,16,Alveolar type 1 cell,54,18,6,6,6,AT1
D-18,all,34,21,188,1593,26,50482,0,0,0,0,0,D,5,Natural killer cell,42,22,2,2,2_2,InflamMac
D-19,all,28,15,692,740,35,54345,0,0,0,0,0,D,2,Proliferative mesenchymal progenitor cell,40,16,3,3,3_1,SMC
D-20,all,36,22,1407,1491,11,43206,0,0,0,0,0,D,8,Pericyte,39,22,5,5,5_1,Pericyte
D-21,all,14,11,86,812,21,48900,0,0,0,0,0,D,4,B cell,30,11,3,3,3_4,AdventitialFib
D-22,all,28,22,1701,451,9,41337,0,0,0,0,0,D,7,Pericyte,38,22,5,5,5_3,Pericyte
D-23,all,77,40,163,527,27,132370,0,0,0,0,0,D,13,B cell,54,40,9,9,9,Bcell
D-24,all,20,14,750,1822,20,48255,0,0,0,0,0,D,6,Arterial endothelial cell,41,14,2,2,2_4,Artery
D-25,all,41,17,1104,1539,12,72618,0,0,0,0,0,D,10,Pericyte,43,17,5,5,5_1,Pericyte
D-27,all,78,33,1573,20,23,142519,0,0,0,0,0,D,24,Venous endothelial cell,56,33,9,9,9,Bcell
D-28,all,23,16,381,613,32,61461,0,0,0,0,0,D,8,Capillary 1 cell,41,16,7,7,7_3,Tcell (CD8)
D-30,all,140,28,1197,1531,16,95804,0,0,0,0,0,D,110,Alveolar type 2 cell,44,8,1,1,1_3,AT2
D-31,all,93,26,777,1673,23,80334,0,0,0,0,0,D,19,Alveolar type 1 cell,58,26,6,6,6,AT1
D-34,all,26,12,230,1884,28,70192,0,0,0,0,0,D,7,Natural killer cell,43,12,7,7,7_4,PatrolMac
D-36,all,44,27,948,1685,10,50598,0,0,0,0,0,D,5,Inflammatory monocyte,45,28,3,3,3_5,SMC
D-37,all,18,10,724,402,8,27156,814,279,535,0.3427518,0.6572482,D,3,Sox9+/Id2+ epithelial cell,36,10,3,3,3_6,SCMF
D-39,all,24,13,205,1825,25,68281,0,0,0,0,0,D,5,Capillary 1 cell,43,13,2,2,2_1,Capillary
D-40,all,53,28,241,1714,24,103058,0,0,0,0,0,D,9,Alveolar fibroblast 1,53,28,3,3,3_4,AdventitialFib
D-41,all,20,13,1721,48,32,45584,0,0,0,0,0,D,2,Endothelial progenitor cell,40,13,3,3,3_4,AdventitialFib
D-42,all,92,39,1010,1660,18,107828,0,0,0,0,0,D,38,Interstitial macrophage,62,38,8,8,8_3,InterstitialMac
D-44,all,42,21,1204,1308,27,77224,0,0,0,0,0,D,15,Alveolar fibroblast 1,45,22,1,1,1_5_1,LymphaticEndo
D-45,all,62,27,1572,85,25,112744,0,0,0,0,0,D,15,T regulatory cell,55,27,6,6,6,AT1
D-46,all,60,31,1072,1461,16,92910,0,0,0,0,0,D,19,Alveolar type 1 cell,51,30,2,2,2_1,Capillary
D-48,all,10,9,973,1627,37,31305,0,0,0,0,0,D,3,Capillary 1 cell,28,10,2,2,2_1,Capillary
D-49,all,16,12,1039,206,28,31177,0,0,0,0,0,D,3,Inflammatory monocyte,34,14,2,2,2_5,DC
D-50,all,109,33,1475,1380,25,127981,0,0,0,0,0,D,63,Alveolar type 2 cell,53,24,1,1,1_1,AT2
D-53,all,23,12,416,1747,16,41111,60,0,60,0,1,D,11,Alveolar macrophage,40,12,5,5,5_1,Pericyte
D-54,all,64,23,340,1918,9,38525,0,0,0,0,0,D,12,Alveolar type 1 cell,54,23,6,6,6,AT1
D-55,all,92,32,1037,1727,17,84317,0,0,0,0,0,D,23,Arterial endothelial cell,58,31,2,2,2_4,Artery
D-57,all,42,20,792,1460,7,39750,0,0,0,0,0,D,12,Vascular smooth muscle cell,44,20,3,3,3_6,SCMF
D-58,all,103,15,1389,1631,20,76954,0,0,0,0,0,D,85,Alveolar type 2 cell,52,13,1,1,1_1,AT2
D-59,all,105,31,104,530,21,77399,0,0,0,0,0,D,16,Alveolar type 1 cell,56,26,6,6,6,AT1
D-60,all,37,28,232,1573,26,74741,0,0,0,0,0,D,6,Alveolar type 1 cell,40,29,1,1,1_5_1,LymphaticEndo
