orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
E-2,all,109,40,568,158,29,76997,0,0,0,0,0,E,23,Interstitial macrophage,58,32,8,8,8_3,InterstitialMac
E-3,all,70,24,1837,588,31,71486,0,0,0,0,0,E,42,Alveolar type 2 cell,52,24,1,1,1_1,AT2
E-4,all,24,15,147,409,31,56310,0,0,0,0,0,E,2,B cell,43,15,9,9,9,Bcell
E-5,all,36,22,1825,263,24,74163,0,0,0,0,0,E,8,Capillary 1 cell,40,22,2,2,2_3,Vein
E-6,all,126,43,194,1530,18,77395,0,0,0,0,0,E,22,Alveolar macrophage,48,23,8,8,8_1,AlveolarMac
E-7,all,41,28,1526,95,26,75594,0,0,0,0,0,E,9,Inflammatory monocyte,43,29,3,3,3_1,SMC
E-8,all,79,36,1496,1409,26,83953,0,0,0,0,0,E,11,Alveolar macrophage,59,36,8,8,8_1,AlveolarMac
E-9,all,81,25,1451,1919,30,76537,0,0,0,0,0,E,2,Natural killer cell,59,25,7,7,7_3,Tcell (CD8)
E-10,all,99,54,564,1002,20,121690,0,0,0,0,0,E,29,Pericyte,59,46,2,2,2_4,Artery
E-11,all,69,31,562,829,24,74298,0,0,0,0,0,E,34,Inflammatory monocyte,56,31,1,1,1_1,AT2
E-12,all,47,15,529,1643,28,47144,0,0,0,0,0,E,33,Alveolar type 2 cell,47,15,1,1,1_3,AT2
E-13,all,80,38,1551,1666,20,131940,0,0,0,0,0,E,17,B cell,57,38,9,9,9,Bcell
E-14,all,112,32,1360,544,25,85982,0,0,0,0,0,E,7,Proliferative mesenchymal progenitor cell,49,20,6,6,6,AT1
E-15,all,41,26,1542,761,17,59593,0,0,0,0,0,E,6,Alveolar fibroblast 1,42,26,9,9,9,Bcell
E-16,all,33,17,1075,700,31,80070,0,0,0,0,0,E,14,CD4+ T cell,42,17,7,7,7_4,PatrolMac
E-17,all,76,38,943,800,17,79070,0,0,0,0,0,E,30,Alveolar fibroblast 1,58,39,3,3,3_1,SMC
E-19,all,48,32,486,1030,32,73024,0,0,0,0,0,E,3,CD8+ T cell,48,32,7,7,7_2,PatrolMac
E-21,all,73,42,1164,594,17,92071,0,0,0,0,0,E,14,B cell,59,42,9,9,9,Bcell
E-22,all,124,34,1432,290,33,77161,0,0,0,0,0,E,20,Arterial endothelial cell,44,14,6,6,6,AT1
E-24,all,56,28,1343,286,33,56631,0,0,0,0,0,E,13,Natural killer cell,54,29,2,2,2_2,InflamMac
E-25,all,130,46,227,1497,14,83683,0,0,0,0,0,E,26,Alveolar macrophage,47,23,8,8,8_1,AlveolarMac
E-26,all,90,38,1010,803,23,105099,0,0,0,0,0,E,7,Innate lymphoid cell,63,37,7,7,7_3,Tcell (CD8)
E-27,all,100,32,301,1661,23,90760,0,0,0,0,0,E,27,Alveolar type 1 cell,58,28,6,6,6,AT1
E-28,all,8,7,199,723,34,35085,0,0,0,0,0,E,2,Inflammatory monocyte,26,8,7,7,7_2,PatrolMac
E-29,all,26,22,741,460,17,32458,132,0,132,0,1,E,6,Alveolar macrophage,46,22,8,8,8_1,AlveolarMac
E-30,all,30,25,862,882,23,69810,0,0,0,0,0,E,5,Inflammatory monocyte,40,26,2,2,2_5,DC
E-31,all,51,16,905,835,31,42852,0,0,0,0,0,E,38,Alveolar type 2 cell,50,16,1,1,1_1,AT2
E-32,all,39,23,77,318,21,62508,0,0,0,0,0,E,9,Secondary crest myofibroblast,42,23,5,5,5_3,Pericyte
E-34,all,119,21,698,898,17,95095,0,0,0,0,0,E,17,B cell,53,10,7,7,7_4,PatrolMac
E-35,all,24,20,125,1145,35,33155,0,0,0,0,0,E,3,Inflammatory monocyte,44,20,3,3,3_6,SCMF
E-37,all,54,29,1180,384,9,66019,0,0,0,0,0,E,10,Alveolar fibroblast 1,52,29,1,1,1_5_1,LymphaticEndo
E-38,all,20,18,144,1204,33,54273,0,0,0,0,0,E,3,Proliferative mesenchymal progenitor cell,39,19,3,3,3_1,SMC
E-39,all,63,37,1601,1685,15,94739,0,0,0,0,0,E,9,Secondary crest myofibroblast,56,38,3,3,3_1,SMC
E-41,all,26,21,466,185,9,28787,0,0,0,0,0,E,4,Alveolar fibroblast 2,46,21,9,9,9,Bcell
E-44,all,40,27,738,298,21,68831,0,0,0,0,0,E,17,Pericyte,41,27,5,5,5_1,Pericyte
E-45,all,17,10,384,1048,37,41351,0,0,0,0,0,E,4,B cell,34,10,7,7,7_4,PatrolMac
E-46,all,34,16,1160,1222,12,39670,0,0,0,0,0,E,18,Secondary crest myofibroblast,44,16,5,5,5_3,Pericyte
E-48,all,26,8,1185,1243,9,34087,0,0,0,0,0,E,20,Secondary crest myofibroblast,41,9,3,3,3_1,SMC
E-51,all,33,21,775,1647,16,69566,0,0,0,0,0,E,15,B cell,41,21,9,9,9,Bcell
E-52,all,38,25,587,1140,34,82693,0,0,0,0,0,E,5,B cell,43,25,9,9,9,Bcell
E-54,all,24,20,1486,1618,37,47152,0,0,0,0,0,E,4,CD4+ T cell,43,20,2,2,2_1,Capillary
E-55,all,43,26,1490,206,14,56468,0,0,0,0,0,E,11,Pericyte,43,26,5,5,5_3,Pericyte
E-56,all,15,11,311,162,25,40092,0,0,0,0,0,E,3,Inflammatory monocyte,36,13,2,2,2_5,DC
E-57,all,34,25,892,866,21,40549,0,0,0,0,0,E,6,Alveolar type 2 cell,38,26,2,2,2_2,InflamMac
E-58,all,6,6,515,38,10,36362,0,0,0,0,0,E,2,Alveolar fibroblast 1,27,8,1,1,1_5_4,pDC
E-59,all,52,20,97,436,13,67096,0,0,0,0,0,E,2,B cell,51,20,2,2,2_6,pDC
E-60,all,32,24,77,199,18,67007,0,0,0,0,0,E,6,B cell,38,24,9,9,9,Bcell
E-61,all,90,45,464,526,18,94631,115,0,115,0,1,E,12,Arterial endothelial cell,62,44,7,7,7_3,Tcell (CD8)
E-64,all,48,28,95,1231,26,64305,0,0,0,0,0,E,18,Pericyte,48,28,5,5,5_1,Pericyte
E-65,all,8,7,979,1373,10,26748,0,0,0,0,0,E,2,B cell,25,8,9,9,9,Bcell
E-66,all,29,19,556,278,14,46313,0,0,0,0,0,E,15,Pericyte,40,19,5,5,5_3,Pericyte
E-67,all,19,18,17,242,35,26929,0,0,0,0,0,E,2,B cell,39,18,2,2,2_6,pDC
E-68,all,50,22,1755,1759,16,77592,0,0,0,0,0,E,9,Alveolar type 1 cell,50,22,6,6,6,AT1
E-69,all,19,13,1186,1041,28,61242,0,0,0,0,0,E,5,Sox9+/Id2+ epithelial cell,42,14,2,2,2_3,Vein
E-70,all,28,20,1061,851,36,47461,0,0,0,0,0,E,5,Alveolar fibroblast 1,39,21,2,2,2_4,Artery
E-71,all,63,36,834,752,18,109060,130,0,130,0,1,E,8,Sox9+/Id2+ epithelial cell,57,36,2,2,2_3,Vein
E-73,all,25,21,1042,74,35,64702,0,0,0,0,0,E,11,Pericyte,45,21,5,5,5_1,Pericyte
E-74,all,155,46,686,1020,26,98735,0,50,0,1,0,E,23,Alveolar macrophage,56,30,8,8,8_1,AlveolarMac
