x
F-3,PatrolMac
F-4,AT1
F-5,Tcell (CD8)
F-6,Pericyte
F-9,Pericyte
F-10,Capillary
F-11,Capillary
F-12,Pericyte
F-13,SMC
F-14,Bcell
F-15,Tcell (CD8)
F-16,Pericyte
F-17,AT1
F-19,AT2
F-20,SMC
F-21,AT1
F-22,Bcell
F-23,Bcell
F-25,Pericyte
F-26,Bcell
F-27,Bcell
F-28,Capillary
F-30,AT2
F-31,Capillary
F-32,AT2
F-34,Pericyte
F-35,AlveolarMac
F-36,AT1
F-37,PatrolMac
F-38,Artery
F-39,Capillary
F-40,InterstitialMac
F-41,LymphaticEndo
F-43,Pericyte
F-44,AlveolarFib
F-45,Artery
F-46,AT1
F-48,AlveolarFib
F-49,Bcell
F-50,AdventitialFib
F-52,AT1
F-53,InflamMac
F-56,AT1
F-59,Capillary
F-60,Artery
F-61,AT1
F-63,AT2
F-67,AT1
F-68,Vein
F-70,Tcell (CD8)
F-72,AT2
F-73,AT1
F-74,Pericyte
F-75,Vein
F-76,Artery
F-77,Capillary
F-78,AT2
F-79,Artery
F-82,AT1
F-84,AlveolarMac
F-86,AT2
F-87,Capillary
F-88,SMC
F-90,AT1
F-93,AT2
F-94,Capillary
F-95,AdventitialFib
F-97,SMC
F-99,Pericyte
F-100,Pericyte
F-101,Bcell
F-104,AlveolarFib
F-105,AdventitialFib
F-106,Pericyte
F-108,Artery
F-109,Capillary
F-114,AT2
F-115,Capillary
F-117,Vein
F-118,Capillary
F-119,Capillary
F-121,InterstitialMac
F-125,Artery
F-127,SMC
F-129,AlveolarMac
F-130,AT2
F-131,Pericyte
F-133,Pericyte
F-134,DC
F-135,PatrolMac
F-136,AT2
F-141,AT2
F-143,PatrolMac
F-145,AlveolarFib
F-146,AlveolarFib
F-147,Bcell
F-150,AT1
F-151,Vein
F-153,AdventitialFib
F-154,Pericyte
F-155,Bcell
F-156,AT1
F-159,Capillary
F-160,SMC
F-161,Pericyte
F-163,AT1
F-164,AT2
F-165,Pericyte
F-166,AT1
F-167,AlveolarMac
F-171,Capillary
F-173,Capillary
F-174,Pericyte
F-175,AdventitialFib
F-176,Pericyte
F-177,Bcell
F-178,InflamMac
F-179,Vein
F-180,Artery
F-182,SMC
F-183,Capillary
F-185,LymphaticEndo
F-187,AT2
F-188,Pericyte
F-189,AdventitialFib
F-190,PatrolMac
F-191,AdventitialFib
F-193,Bcell
F-194,PatrolMac
F-196,AT1
F-197,Vein
F-198,Capillary
F-199,Tcell (CD8)
F-200,AT1
F-202,SMC
F-204,Neutrophil
F-205,AT2
F-206,Capillary
F-207,AT2
F-209,Pericyte
F-212,Bcell
F-213,Pericyte
F-215,Capillary
F-216,SCMF
F-217,AT2
F-219,AT1
F-220,Pericyte
F-221,AlveolarMac
F-222,SMC
F-223,AT1
F-224,Artery
F-225,LymphaticEndo
F-227,AT1
F-231,AT2
F-232,InflamMac
F-235,AT2
F-236,Capillary
F-238,PatrolMac
F-240,AT1
F-241,Bcell
F-242,AT1
F-243,AT1
F-244,InterstitialMac
F-247,Pericyte
F-250,PatrolMac
F-251,pDC
F-253,AdventitialFib
F-256,AlveolarMac
F-257,SMC
F-259,PatrolMac
F-261,Capillary
F-263,AlveolarMac
F-264,Capillary
F-265,AlveolarFib
F-268,SMC
F-269,AT2
F-270,PatrolMac
F-272,AT1
F-273,Bcell
F-274,SMC
F-277,AT1
F-278,SMC
F-280,AT1
F-282,AT1
F-285,AT1
F-286,Artery
F-288,Artery
F-291,AdventitialFib
F-292,Pericyte
F-294,AT1
F-299,Pericyte
F-304,Pericyte
F-305,Tcell (CD8)
F-306,AT1
F-307,SMC
F-313,Capillary
F-320,Capillary
F-323,AT1
F-329,Capillary
F-330,AT1
F-333,InterstitialMac
F-334,AT1
F-336,Vein
F-337,pDC
F-339,InterstitialMac
F-340,AT2
F-341,SMC
F-343,Pericyte
F-344,SMC
F-345,LymphaticEndo
F-347,AlveolarFib
F-348,PatrolMac
F-350,Artery
F-351,AT2
F-352,PatrolMac
F-353,AT2
F-354,InflamMac
F-355,AdventitialFib
F-358,DC
F-359,Bcell
F-362,Pericyte
F-363,Pericyte
F-364,AlveolarFib
F-365,AT2
F-369,Vein
F-370,Pericyte
F-374,Vein
F-375,AlveolarFib
F-376,SMC
F-377,PatrolMac
F-378,Artery
F-379,AT2
F-380,AlveolarMac
F-381,Capillary
F-383,Pericyte
F-386,LymphaticEndo
F-389,Bcell
F-390,PatrolMac
F-391,AlveolarMac
F-392,LymphaticEndo
F-394,Pericyte
F-398,AT2
F-399,pDC
F-400,Vein
F-402,SMC
F-403,Capillary
F-404,pDC
F-405,AT2
F-407,AT2
F-408,AT1
F-409,InterstitialMac
F-410,LymphaticEndo
F-414,Capillary
F-416,Artery
F-417,AT1
F-419,Vein
F-421,PatrolMac
F-423,AT2
F-424,Vein
F-425,AT2
F-426,SMC
F-427,AdventitialFib
F-428,AlveolarMac
F-429,Bcell
F-430,InterstitialMac
F-434,AlveolarFib
F-435,SMC
F-437,PatrolMac
F-438,AT2
F-439,AT2
F-441,SMC
F-442,AT2
F-444,Capillary
F-446,AT2
F-450,Pericyte
F-451,AdventitialFib
F-453,AT2
F-454,DC
F-457,SMC
F-458,Artery
F-459,InterstitialMac
F-460,AT2
F-462,AT2
F-464,PatrolMac
F-466,Capillary
F-467,InflamMac
F-470,SMC
F-471,AT2
F-474,AT1
F-477,Pericyte
F-479,AT2
F-481,AdventitialFib
F-486,Pericyte
F-487,AT1
F-488,Capillary
F-491,PatrolMac
F-493,Vein
F-494,InterstitialMac
F-495,AT1
F-497,Vein
F-499,PatrolMac
F-503,pDC
F-504,Capillary
F-505,Pericyte
F-508,Vein
F-512,AT2
F-513,Capillary
F-514,Pericyte
F-515,InflamMac
F-516,AT2
F-519,pDC
F-521,SMC
F-523,Capillary
F-524,Capillary
F-525,pDC
F-527,Pericyte
F-528,pDC
F-529,Vein
F-530,AT2
F-535,InflamMac
F-536,AT2
F-537,AT1
F-541,AT2
F-542,SMC
F-544,AlveolarFib
F-546,Artery
F-548,AlveolarFib
F-551,Pericyte
F-552,Bcell
F-554,SMC
F-556,Pericyte
F-557,Pericyte
F-558,pDC
F-559,Artery
F-560,SMC
F-561,LymphaticEndo
F-562,AT1
F-564,AT1
F-565,SMC
F-567,AlveolarMac
F-568,AT2
F-569,AlveolarMac
F-570,Pericyte
F-571,AT2
F-576,AT2
F-579,AT2
F-581,AT2
F-582,pDC
F-584,AlveolarFib
F-589,AT1
F-590,InflamMac
F-593,LymphaticEndo
F-598,Artery
F-599,InterstitialMac
F-600,SMC
F-601,InflamMac
F-603,SMC
F-606,AT1
F-612,Tcell (CD8)
F-617,AT1
F-619,LymphaticEndo
F-622,AT1
F-624,Pericyte
F-625,PatrolMac
F-631,pDC
F-632,LymphaticEndo
F-638,Artery
F-642,Pericyte
F-644,LymphaticEndo
F-645,Vein
F-652,AT2
F-659,Vein
F-665,DC
F-666,AlveolarMac
F-667,AT2
F-672,Capillary
F-673,AT2
F-674,Bcell
F-675,Capillary
F-676,LymphaticEndo
F-677,Bcell
F-678,InflamMac
F-679,SMC
F-680,AlveolarMac
F-682,Neutrophil
F-683,AT2
F-684,Pericyte
F-685,AT1
F-687,SMC
F-688,AT2
F-690,Vein
F-693,DC
F-694,LymphaticEndo
F-695,Pericyte
F-696,Pericyte
F-697,Bcell
F-698,AT2
F-700,Pericyte
F-705,AlveolarMac
F-706,SMC
F-707,PatrolMac
F-709,Bcell
F-710,AT2
F-711,Bcell
F-712,AT2
F-713,Vein
F-714,Bcell
F-716,SCMF
F-717,PatrolMac
F-718,Capillary
F-719,Bcell
F-720,AT2
F-723,Artery
F-724,AT1
F-725,PatrolMac
F-729,AT2
F-731,Capillary
F-733,AT2
F-734,Capillary
F-735,Capillary
F-736,AT2
F-737,Tcell (CD8)
F-739,SMC
F-740,AT1
F-741,AT2
F-742,AT2
F-743,PatrolMac
F-744,AT1
F-745,AT2
F-747,Bcell
F-750,DC
F-751,AT1
F-756,AT1
F-759,Capillary
F-761,InflamMac
F-762,AT2
F-763,AdventitialFib
F-764,Capillary
F-766,LymphaticEndo
F-767,Artery
F-768,AT2
F-771,AT1
F-772,AT1
F-774,Capillary
F-775,Capillary
F-777,Bcell
F-779,Pericyte
F-783,Pericyte
F-786,PatrolMac
F-794,SMC
F-795,AlveolarMac
F-796,pDC
F-797,AT1
F-798,AT2
F-800,Capillary
F-801,AT1
F-806,Capillary
F-810,Pericyte
F-812,Capillary
F-815,PatrolMac
F-817,Capillary
F-818,Capillary
F-821,Vein
F-824,AT1
F-826,DC
F-827,Capillary
F-828,Artery
F-830,Pericyte
F-831,AT2
F-832,Capillary
F-838,AdventitialFib
F-841,AT2
F-842,Bcell
F-843,Vein
F-844,Capillary
F-848,Artery
F-849,SCMF
F-851,SMC
F-852,LymphaticEndo
F-853,Bcell
F-855,AT1
F-857,DC
F-859,AT2
F-860,Artery
F-861,AT1
F-863,AT2
F-865,AdventitialFib
F-866,SMC
F-867,AT2
F-871,LymphaticEndo
F-879,Bcell
F-880,Pericyte
F-883,AT1
F-884,Artery
F-885,AT2
F-887,SMC
F-889,AT2
F-891,InterstitialMac
F-897,AT2
F-898,Pericyte
F-900,SMC
F-902,pDC
F-903,AlveolarFib
F-905,AT2
F-910,AT2
F-911,DC
F-912,AT2
F-913,Capillary
F-914,InterstitialMac
F-915,SMC
F-917,AT2
F-918,InterstitialMac
F-921,AT1
F-928,AT1
F-931,Artery
F-934,Bcell
F-935,AdventitialFib
F-942,PatrolMac
F-943,Bcell
F-944,AlveolarMac
F-946,Pericyte
F-947,InterstitialMac
F-949,Pericyte
F-954,AT2
F-957,Tcell (CD8)
F-958,AdventitialFib
F-960,AT1
F-962,LymphaticEndo
F-963,AlveolarFib
F-964,Vein
F-966,SMC
F-967,SMC
F-970,Vein
F-973,AT1
F-981,AdventitialFib
F-984,AlveolarFib
F-986,InterstitialMac
F-992,pDC
F-998,Bcell
F-1005,InflamMac
F-1006,AlveolarMac
F-1010,Tcell (CD8)
F-1013,Vein
F-1015,AdventitialFib
F-1027,AT2
F-1029,AT2
F-1032,AT1
F-1033,AlveolarFib
F-1035,AlveolarFib
F-1038,AT1
F-1039,CiliatedEpi
F-1040,Capillary
F-1043,SMC
F-1044,AT1
F-1045,ClubEpi
F-1046,Tcell (CD4)
F-1047,SCMF
F-1048,Pericyte
F-1049,SMC
F-1050,CiliatedEpi
F-1052,CiliatedEpi
F-1054,AT1
F-1055,SMC
F-1058,CiliatedEpi
F-1059,Capillary
F-1060,Tcell (CD4)
F-1061,AdventitialFib
F-1062,CiliatedEpi
F-1065,Bcell
F-1066,AlveolarFib
F-1067,Tcell (CD4)
F-1068,CiliatedEpi
F-1069,SMC
F-1071,AlveolarMac
F-1072,CiliatedEpi
F-1073,AlveolarFib
F-1074,Capillary
F-1075,AlveolarFib
F-1077,AlveolarFib
F-1080,Tcell (CD4)
F-1082,InflamMac
F-1084,Tcell (CD4)
F-1085,CiliatedEpi
F-1087,ClubEpi
F-1088,Bcell
F-1089,CiliatedEpi
F-1090,Bcell
F-1091,SMC
F-1092,SMC
F-1094,ClubEpi
F-1095,CiliatedEpi
F-1098,AlveolarFib
F-1099,AdventitialFib
F-1101,pDC
F-1103,CiliatedEpi
F-1106,AlveolarFib
F-1107,SMC
F-1108,InflamMac
F-1111,AlveolarFib
F-1113,AlveolarFib
F-1115,Bcell
F-1118,CiliatedEpi
F-1122,LymphaticEndo
F-1124,AT1
F-1125,DC
F-1127,Bcell
F-1128,CiliatedEpi
F-1129,SMC
F-1130,CiliatedEpi
F-1132,CiliatedEpi
F-1133,SMC
F-1135,CiliatedEpi
F-1136,PatrolMac
