orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
F-3,all,93,35,284,1538,11,72261,0,0,0,0,0,F,16,Natural killer cell,64,35,7,7,7_4,PatrolMac
F-4,all,61,18,1620,73,19,71686,0,0,0,0,0,F,9,Alveolar type 1 cell,54,18,6,6,6,AT1
F-5,all,40,26,1415,1548,26,77079,0,0,0,0,0,F,14,Alveolar type 1 cell,42,26,7,7,7_3,Tcell (CD8)
F-6,all,48,19,1609,558,17,75608,0,0,0,0,0,F,31,Pericyte,48,19,5,5,5_3,Pericyte
F-9,all,11,7,1474,785,26,23053,0,0,0,0,0,F,6,Pericyte,34,7,5,5,5_1,Pericyte
F-10,all,43,17,1214,31,21,76634,0,0,0,0,0,F,10,Capillary 1 cell,43,17,2,2,2_1,Capillary
F-11,all,66,34,934,1232,11,90553,115,0,115,0,1,F,11,Capillary 1 cell,56,33,2,2,2_1,Capillary
F-12,all,11,8,1496,1641,32,42237,0,0,0,0,0,F,6,Sox9+/Id2+ epithelial cell,31,8,5,5,5_1,Pericyte
F-13,all,31,14,1211,1532,31,60955,0,0,0,0,0,F,2,Proliferative mesenchymal progenitor cell,45,15,3,3,3_1,SMC
F-14,all,22,13,446,1251,21,84141,0,0,0,0,0,F,5,B cell,39,13,9,9,9,Bcell
F-15,all,18,17,1048,362,21,84754,0,0,0,0,0,F,3,Alveolar fibroblast 1,36,17,7,7,7_3,Tcell (CD8)
F-16,all,65,28,939,297,25,66105,0,0,0,0,0,F,34,Neutrophil,56,28,5,5,5_1,Pericyte
F-17,all,18,13,46,1697,8,27587,0,0,0,0,0,F,3,Ciliated cell,37,13,6,6,6,AT1
F-19,all,147,20,129,1172,20,105869,0,0,0,0,0,F,130,Alveolar type 2 cell,50,9,1,1,1_3,AT2
F-20,all,20,15,354,1592,32,79510,0,0,0,0,0,F,5,B cell,39,16,3,3,3_1,SMC
F-21,all,41,11,1725,309,11,38896,0,0,0,0,0,F,9,Alveolar type 1 cell,45,11,6,6,6,AT1
F-22,all,30,21,340,1381,14,79419,0,0,0,0,0,F,10,Ciliated cell,40,21,9,9,9,Bcell
F-23,all,25,15,975,1507,7,49476,0,0,0,0,0,F,9,B cell,43,15,9,9,9,Bcell
F-25,all,7,4,904,1630,7,22832,0,0,0,0,0,F,4,Pericyte,19,7,5,5,5_1,Pericyte
F-26,all,12,9,1596,1104,33,61070,0,0,0,0,0,F,3,B cell,25,9,9,9,9,Bcell
F-27,all,27,19,702,1265,10,76525,0,0,0,0,0,F,9,B cell,40,19,9,9,9,Bcell
F-28,all,10,8,1550,860,27,52587,0,0,0,0,0,F,2,Capillary 1 cell,33,9,2,2,2_1,Capillary
F-30,all,128,11,229,1514,16,78064,0,0,0,0,0,F,121,Alveolar type 2 cell,49,6,1,1,1_3,AT2
F-31,all,13,12,705,168,22,46689,0,0,0,0,0,F,5,Natural killer cell,30,13,2,2,2_1,Capillary
F-32,all,103,22,1348,1344,17,70194,0,0,0,0,0,F,81,Alveolar type 2 cell,52,15,1,1,1_3,AT2
F-34,all,26,16,1827,1196,11,78028,0,0,0,0,0,F,7,Vascular smooth muscle cell,46,16,5,5,5_1,Pericyte
F-35,all,76,33,327,1205,16,96475,0,0,0,0,0,F,23,Alveolar macrophage,56,33,8,8,8_1,AlveolarMac
F-36,all,16,13,336,1138,31,27944,0,0,0,0,0,F,2,Alveolar type 1 cell,34,13,6,6,6,AT1
F-37,all,50,26,27,1217,12,76781,0,0,0,0,0,F,10,Alveolar type 1 cell,50,26,7,7,7_4,PatrolMac
F-38,all,46,25,999,1637,20,87027,0,0,0,0,0,F,19,Arterial endothelial cell,47,26,2,2,2_4,Artery
