orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
G-2,all,34,19,1659,108,29,70505,0,0,0,0,0,G,8,Ciliated cell,43,19,5,5,5_1,Pericyte
G-3,all,14,12,1455,353,31,37033,0,0,0,0,0,G,2,Proliferative mesenchymal progenitor cell,27,12,5,5,5_1,Pericyte
G-5,all,65,37,311,1219,14,78355,0,0,0,0,0,G,22,Pericyte,57,37,5,5,5_1,Pericyte
G-6,all,50,27,440,943,11,35937,0,0,0,0,0,G,12,Alveolar type 1 cell,50,27,6,6,6,AT1
G-9,all,52,23,591,806,26,104767,51,0,51,0,1,G,5,Capillary 2 cell,50,23,2,2,2_1,Capillary
G-10,all,19,11,1834,24,10,46814,0,0,0,0,0,G,2,Proliferative mesenchymal progenitor cell,37,11,3,3,3_4,AdventitialFib
G-11,all,75,26,265,1493,15,55511,0,0,0,0,0,G,48,Alveolar type 2 cell,55,26,1,1,1_3,AT2
G-12,all,148,22,331,1712,23,86528,0,0,0,0,0,G,126,Alveolar type 2 cell,46,8,1,1,1_3,AT2
G-13,all,70,38,391,1575,12,69251,0,0,0,0,0,G,3,Proliferative mesenchymal progenitor cell,59,38,3,3,3_3,AdventitialFib
G-14,all,25,18,966,726,14,55262,0,0,0,0,0,G,5,Sox9+/Id2+ epithelial cell,44,18,1,1,1_3,AT2
G-15,all,33,22,1624,278,11,29212,0,0,0,0,0,G,3,Interstitial macrophage,41,22,8,8,8_1,AlveolarMac
G-18,all,18,10,1663,1174,17,24989,0,0,0,0,0,G,2,Interstitial macrophage,36,10,8,8,8_2,InterstitialMac
G-19,all,55,23,1019,587,20,61438,388,184,204,0.4742268,0.5257732,G,19,Alveolar type 2 cell,52,23,1,1,1_3,AT2
G-24,all,24,13,1921,426,21,63519,0,0,0,0,0,G,5,Arterial endothelial cell,43,14,2,2,2_4,Artery
G-25,all,86,24,778,819,11,101983,0,0,0,0,0,G,67,Alveolar type 2 cell,55,24,1,1,1_1,AT2
G-28,all,63,32,745,714,22,56385,0,0,0,0,0,G,10,Alveolar type 1 cell,57,32,6,6,6,AT1
G-29,all,74,41,1683,1211,20,101871,0,0,0,0,0,G,5,Alveolar fibroblast 2,57,42,3,3,3_5,SMC
G-31,all,37,25,425,128,34,67358,0,0,0,0,0,G,3,Arterial endothelial cell,40,25,2,2,2_6,pDC
G-33,all,76,40,251,1450,13,78805,0,0,0,0,0,G,30,Pericyte,56,40,5,5,5_1,Pericyte
G-34,all,40,29,49,764,15,57713,0,0,0,0,0,G,12,Alveolar type 1 cell,41,29,6,6,6,AT1
G-35,all,24,13,1375,1158,18,41913,0,0,0,0,0,G,9,Mesothelial cell,40,13,3,3,3_3,AdventitialFib
G-37,all,45,21,670,960,35,95425,0,0,0,0,0,G,6,Arterial endothelial cell,46,22,2,2,2_4,Artery
G-38,all,87,45,292,1005,20,115458,0,0,0,0,0,G,18,Arterial endothelial cell,60,44,2,2,2_4,Artery
G-43,all,75,34,252,977,23,78895,0,0,0,0,0,G,38,Arterial endothelial cell,55,34,2,2,2_4,Artery
G-44,all,21,12,385,868,20,48401,0,0,0,0,0,G,10,Alveolar type 2 cell,43,12,2,2,2_6,pDC
G-45,all,30,21,983,782,32,45682,0,0,0,0,0,G,4,Alveolar type 1 cell,38,21,6,6,6,AT1
G-46,all,63,26,417,902,16,82609,0,0,0,0,0,G,26,Alveolar type 2 cell,56,27,2,2,2_2,InflamMac
G-47,all,56,23,1747,989,28,89700,0,0,0,0,0,G,25,Alveolar type 2 cell,54,23,1,1,1_3,AT2
G-49,all,53,15,566,1057,34,50766,0,0,0,0,0,G,33,Alveolar type 2 cell,51,15,1,1,1_3,AT2
G-50,all,91,42,1603,1550,20,79152,0,0,0,0,0,G,4,Innate lymphoid cell,60,41,1,1,1_5_2,AlveolarFib
G-51,all,60,41,18,405,29,60822,0,0,0,0,0,G,14,Interstitial macrophage,57,41,8,8,8_3,InterstitialMac
G-52,all,42,18,173,1250,28,39884,0,0,0,0,0,G,6,Alveolar type 1 cell,44,18,6,6,6,AT1
G-53,all,25,17,1678,606,38,38251,0,0,0,0,0,G,3,Interstitial macrophage,44,17,8,8,8_3,InterstitialMac
G-55,all,58,29,360,1537,34,52695,0,0,0,0,0,G,10,Classical DC subset 2,52,28,2,2,2_1,Capillary
G-56,all,43,32,22,731,21,55949,0,0,0,0,0,G,8,Capillary 1 cell,45,33,2,2,2_1,Capillary
G-57,all,17,12,524,737,10,33717,0,0,0,0,0,G,2,Alveolar fibroblast 1,35,12,2,2,2_3,Vein
G-59,all,19,14,1416,873,29,59443,0,0,0,0,0,G,2,Capillary 2 cell,39,15,2,2,2_2,InflamMac
G-60,all,12,9,570,996,23,33087,0,0,0,0,0,G,6,Alveolar fibroblast 1,31,10,3,3,3_1,SMC
G-63,all,48,30,1519,611,30,61944,0,0,0,0,0,G,10,Interstitial macrophage,48,30,8,8,8_3,InterstitialMac
G-64,all,42,20,293,715,13,52787,0,0,0,0,0,G,14,Pericyte,44,20,5,5,5_1,Pericyte
G-65,all,46,28,113,1163,25,66318,0,0,0,0,0,G,12,Inflammatory monocyte,46,28,5,5,5_1,Pericyte
G-67,all,47,20,928,676,28,78501,0,0,0,0,0,G,25,Sox9+/Id2+ epithelial cell,47,20,1,1,1_1,AT2
G-69,all,37,24,1546,14,22,71817,0,0,0,0,0,G,3,Mesothelial cell,41,24,3,3,3_3,AdventitialFib
G-70,all,56,30,1636,1113,11,32136,0,0,0,0,0,G,15,Interstitial macrophage,55,30,8,8,8_3,InterstitialMac
G-71,all,33,26,798,682,34,73985,0,0,0,0,0,G,4,Secondary crest myofibroblast,39,27,3,3,3_1,SMC
G-72,all,106,48,199,635,24,82724,0,0,0,0,0,G,10,Capillary 1 cell,60,40,6,6,6,AT1
G-73,all,86,43,541,116,10,65152,0,0,0,0,0,G,20,Interstitial macrophage,63,43,8,8,8_3,InterstitialMac
G-74,all,27,19,264,1713,36,40101,0,0,0,0,0,G,10,Alveolar type 2 cell,46,19,5,5,5_1,Pericyte
G-75,all,74,21,377,916,32,66551,0,0,0,0,0,G,52,Alveolar type 2 cell,54,21,1,1,1_3,AT2
G-76,all,28,17,503,1114,11,31421,0,0,0,0,0,G,5,Interstitial macrophage,43,17,8,8,8_3,InterstitialMac
G-77,all,12,7,1639,1159,9,16769,0,0,0,0,0,G,5,Interstitial macrophage,30,7,8,8,8_3,InterstitialMac
G-78,all,58,18,1705,905,23,87685,0,0,0,0,0,G,29,Alveolar type 2 cell,52,18,1,1,1_1,AT2
G-79,all,16,11,746,656,38,23327,0,0,0,0,0,G,2,Sox9+/Id2+ epithelial cell,38,12,3,3,3_5,SMC
G-80,all,31,24,287,1085,17,64645,0,0,0,0,0,G,5,Pericyte,36,24,5,5,5_1,Pericyte
G-82,all,44,21,1723,141,32,91782,0,0,0,0,0,G,5,Mesothelial cell,46,21,3,3,3_3,AdventitialFib
G-83,all,59,25,163,1206,16,41879,0,0,0,0,0,G,5,Alveolar type 1 cell,54,25,6,6,6,AT1
G-84,all,39,26,425,1418,34,60093,0,0,0,0,0,G,3,Alveolar macrophage,43,26,3,3,3_3,AdventitialFib
G-85,all,28,18,496,702,30,38194,0,0,0,0,0,G,6,Pericyte,42,18,5,5,5_1,Pericyte
G-86,all,47,25,989,836,29,62490,0,0,0,0,0,G,2,Alveolar fibroblast 1,51,26,1,1,1_4_1,AlveolarFib
G-87,all,45,28,1207,212,35,54031,0,0,0,0,0,G,7,Interstitial macrophage,45,28,8,8,8_3,InterstitialMac
G-88,all,33,21,1889,436,24,52844,0,0,0,0,0,G,14,Arterial endothelial cell,41,22,2,2,2_4,Artery
G-89,all,22,16,438,1361,30,38685,0,0,0,0,0,G,3,Mesothelial cell,40,16,3,3,3_3,AdventitialFib
G-91,all,81,41,326,649,17,88903,0,0,0,0,0,G,10,Alveolar fibroblast 1,56,42,3,3,3_5,SMC
G-95,all,72,19,151,1341,9,50972,0,0,0,0,0,G,51,Alveolar type 2 cell,51,19,1,1,1_1,AT2
G-96,all,7,6,151,1654,13,18052,0,0,0,0,0,G,2,Alveolar type 1 cell,26,9,6,6,6,AT1
G-97,all,34,18,129,1249,36,35293,0,0,0,0,0,G,4,Alveolar fibroblast 1,44,19,2,2,2_4,Artery
G-98,all,21,14,1321,584,5,10929,0,0,0,0,0,G,7,Interstitial macrophage,36,14,8,8,8_3,InterstitialMac
G-99,all,11,7,956,895,8,19636,0,0,0,0,0,G,3,Alveolar fibroblast 2,31,7,3,3,3_3,AdventitialFib
G-100,all,28,21,1531,64,28,64327,0,0,0,0,0,G,4,Alveolar macrophage,39,21,2,2,2_6,pDC
G-101,all,44,20,111,580,35,66461,0,0,0,0,0,G,9,Alveolar fibroblast 1,46,21,3,3,3_1,SMC
G-102,all,22,15,1824,468,14,26132,0,0,0,0,0,G,9,Vascular smooth muscle cell,40,15,5,5,5_1,Pericyte
G-103,all,39,21,1346,115,12,39358,0,0,0,0,0,G,7,Alveolar fibroblast 2,44,21,3,3,3_4,AdventitialFib
G-107,all,33,23,1661,281,14,36373,0,0,0,0,0,G,6,Sox9+/Id2+ epithelial cell,39,23,8,8,8_3,InterstitialMac
G-108,all,21,14,1530,1062,9,37773,0,0,0,0,0,G,4,Mesothelial cell,39,14,3,3,3_3,AdventitialFib
G-109,all,38,25,179,1652,22,75530,0,0,0,0,0,G,2,Alveolar type 1 cell,41,25,6,6,6,AT1
G-110,all,33,11,151,1225,30,34498,0,0,0,0,0,G,4,Sox9+/Id2+ epithelial cell,43,11,6,6,6,AT1
G-112,all,28,17,1558,646,33,45287,0,0,0,0,0,G,4,Interstitial macrophage,39,17,8,8,8_3,InterstitialMac
G-114,all,52,24,677,667,34,78265,0,0,0,0,0,G,13,Alveolar type 2 cell,51,24,1,1,1_1,AT2
G-115,all,6,5,1789,27,11,31489,0,0,0,0,0,G,3,Alveolar macrophage,21,8,2,2,2_6,pDC
G-116,all,78,41,128,1507,32,99405,0,0,0,0,0,G,7,Alveolar type 2 cell,57,41,3,3,3_4,AdventitialFib
