x
H-2,AT2
H-3,AT2
H-4,InflamMac
H-5,AlveolarMac
H-6,Capillary
H-8,AT2
H-9,DC
H-10,pDC
H-11,Artery
H-12,AT2
H-14,AT2
H-15,AT2
H-19,Vein
H-20,Pericyte
H-21,Pericyte
H-22,Pericyte
H-24,AT2
H-25,SMC
H-26,SMC
H-27,AT1
H-28,AdventitialFib
H-30,SMC
H-31,AT2
H-32,Artery
H-33,LymphaticEndo
H-34,Capillary
H-35,AT1
H-36,InterstitialMac
H-37,SMC
H-38,LymphaticEndo
H-39,AT2
H-40,Capillary
H-41,pDC
H-43,Capillary
H-44,AT1
H-45,DC
H-47,pDC
H-48,AlveolarMac
H-49,SMC
H-50,SMC
H-52,AdventitialFib
H-53,PatrolMac
H-54,Bcell
H-57,Capillary
H-58,Artery
H-59,SCMF
H-60,DC
H-61,AdventitialFib
H-63,AlveolarMac
H-64,PatrolMac
H-65,InterstitialMac
H-66,SMC
H-67,DC
H-68,AdventitialFib
H-69,AT2
H-70,LymphaticEndo
H-71,SMC
H-74,PatrolMac
H-75,AlveolarMac
H-76,AlveolarMac
H-77,AT1
H-78,pDC
H-79,PatrolMac
H-81,AT2
H-82,AT1
H-83,Capillary
H-84,Capillary
H-85,AT1
H-86,InflamMac
H-88,InflamMac
H-89,Artery
H-90,PatrolMac
H-91,AT2
H-92,Vein
H-94,Vein
H-95,Capillary
H-96,Vein
H-98,Vein
H-99,PatrolMac
H-101,Bcell
H-106,SCMF
H-107,Pericyte
H-109,pDC
H-112,AT2
H-113,SMC
H-115,AlveolarFib
H-119,AdventitialFib
H-120,LymphaticEndo
H-121,Pericyte
H-122,Vein
H-123,SMC
H-124,PatrolMac
H-128,Pericyte
H-129,DC
H-131,AT1
H-134,Pericyte
H-135,Pericyte
H-136,Capillary
H-137,AdventitialFib
H-142,SMC
H-143,Capillary
H-144,SCMF
H-148,AdventitialFib
H-149,InterstitialMac
H-150,AT1
H-151,AdventitialFib
H-152,Capillary
H-155,SMC
H-156,AT2
H-157,Pericyte
H-158,Capillary
H-159,AT2
H-162,Artery
H-163,AT2
H-164,SCMF
H-165,SMC
H-168,Bcell
H-169,Pericyte
H-172,DC
H-174,Capillary
H-175,AlveolarMac
H-176,Capillary
H-177,Capillary
H-178,AT2
H-179,PatrolMac
H-180,SCMF
H-181,AT2
H-183,InterstitialMac
H-184,SMC
H-186,Pericyte
H-188,Capillary
H-189,SMC
H-190,AT2
H-192,AT2
H-193,AT2
H-194,AT2
H-196,AT2
H-197,AT1
H-198,Vein
H-200,SCMF
H-201,Tcell (CD8)
H-203,InflamMac
H-204,InterstitialMac
H-205,AlveolarMac
H-207,AT1
H-209,AT2
H-212,AT1
H-213,Bcell
H-216,Pericyte
H-218,pDC
H-219,Capillary
H-221,Bcell
H-222,AT2
H-223,LymphaticEndo
H-224,Pericyte
H-225,Pericyte
H-226,AlveolarFib
H-232,AT1
H-233,PatrolMac
H-237,AlveolarMac
H-238,Vein
H-239,Capillary
H-242,AT2
H-245,AT1
H-246,SCMF
H-247,SMC
H-248,Tcell (CD8)
H-250,Vein
H-252,pDC
H-255,SCMF
H-258,pDC
H-259,SMC
H-265,AdventitialFib
H-266,Capillary
H-267,LymphaticEndo
H-272,AT2
H-278,Pericyte
H-280,PatrolMac
H-286,AT2
H-292,AlveolarMac
H-294,PatrolMac
H-297,Tcell (CD8)
H-301,SCMF
H-302,AT2
H-303,Pericyte
H-305,InflamMac
H-309,AlveolarFib
H-312,Artery
H-314,pDC
H-315,SMC
H-316,SMC
H-317,SMC
H-319,AT1
H-321,DC
H-322,Pericyte
H-324,AT2
H-325,Pericyte
H-326,AT1
H-327,PatrolMac
H-328,AlveolarFib
H-329,Pericyte
H-330,pDC
H-331,Vein
H-332,AT2
H-333,AT2
H-334,AT1
H-335,AlveolarMac
H-336,PatrolMac
H-337,SMC
H-338,AT2
H-339,AT2
H-340,Bcell
H-342,PatrolMac
H-343,InflamMac
H-346,SCMF
H-347,Capillary
H-348,AlveolarFib
H-349,LymphaticEndo
H-350,AlveolarMac
H-351,LymphaticEndo
H-352,AT2
H-354,AT2
H-356,DC
H-357,SCMF
H-362,PatrolMac
H-365,AT2
H-366,AlveolarFib
H-367,LymphaticEndo
H-368,InflamMac
H-369,SCMF
H-370,Pericyte
H-372,Capillary
H-373,Bcell
H-374,SMC
H-375,AdventitialFib
H-377,Capillary
H-378,AT2
H-380,AT2
H-382,AT2
H-383,Bcell
H-384,AdventitialFib
H-386,AT2
H-387,LymphaticEndo
H-388,Pericyte
H-392,AT1
H-395,PatrolMac
H-396,SMC
