orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
H-2,all,53,29,585,382,19,82978,0,0,0,0,0,H,14,Alveolar type 2 cell,53,29,1,1,1_3,AT2
H-3,all,38,21,408,131,32,85252,0,0,0,0,0,H,15,Alveolar type 2 cell,42,21,1,1,1_3,AT2
H-4,all,15,13,936,542,34,43653,0,0,0,0,0,H,3,Natural killer cell,34,13,2,2,2_2,InflamMac
H-5,all,97,43,155,544,18,69602,0,0,0,0,0,H,23,Alveolar macrophage,65,42,8,8,8_1,AlveolarMac
H-6,all,54,36,294,1444,21,73135,0,0,0,0,0,H,7,Inflammatory monocyte,55,37,2,2,2_1,Capillary
H-8,all,62,21,1436,770,11,43653,0,0,0,0,0,H,44,Capillary 1 cell,52,21,1,1,1_1,AT2
H-9,all,26,22,1042,731,24,38652,0,0,0,0,0,H,3,Capillary 1 cell,39,24,2,2,2_5,DC
H-10,all,43,23,1121,1476,14,55377,0,0,0,0,0,H,6,Pericyte,44,23,2,2,2_6,pDC
H-11,all,15,13,122,1554,6,17093,0,0,0,0,0,H,4,Arterial endothelial cell,30,13,2,2,2_4,Artery
H-12,all,78,28,394,1142,10,41320,0,0,0,0,0,H,52,Alveolar type 2 cell,56,28,1,1,1_1,AT2
H-14,all,64,29,155,979,18,91926,0,0,0,0,0,H,24,Capillary 1 cell,54,29,1,1,1_3,AT2
H-15,all,79,26,921,594,34,55486,0,0,0,0,0,H,49,Alveolar type 2 cell,56,26,1,1,1_3,AT2
H-19,all,17,12,1249,192,13,39815,0,0,0,0,0,H,2,Alveolar fibroblast 1,34,12,2,2,2_3,Vein
H-20,all,52,32,1049,906,16,78828,191,0,191,0,1,H,23,Vascular smooth muscle cell,52,32,5,5,5_1,Pericyte
H-21,all,58,33,1066,411,23,97560,0,0,0,0,0,H,11,Arterial endothelial cell,55,33,5,5,5_1,Pericyte
H-22,all,17,14,1157,89,32,40678,0,0,0,0,0,H,8,Capillary 1 cell,34,14,5,5,5_3,Pericyte
H-24,all,84,22,44,1918,32,72030,0,0,0,0,0,H,65,Alveolar type 2 cell,54,22,1,1,1_3,AT2
H-25,all,88,45,1149,1219,16,104998,0,0,0,0,0,H,14,Innate lymphoid cell,61,46,3,3,3_5,SMC
H-26,all,38,15,1272,1500,11,50194,0,0,0,0,0,H,20,Airway smooth muscle cell,44,16,3,3,3_1,SMC
H-27,all,43,26,35,965,30,76474,63,0,63,0,1,H,7,Alveolar type 1 cell,43,26,6,6,6,AT1
H-28,all,19,16,181,1584,7,21244,0,0,0,0,0,H,8,Alveolar fibroblast 1,37,16,3,3,3_4,AdventitialFib
H-30,all,99,29,1249,1456,16,58187,0,0,0,0,0,H,69,Alveolar type 2 cell,53,24,3,3,3_5,SMC
H-31,all,42,18,1454,802,8,26399,0,0,0,0,0,H,25,Alveolar type 2 cell,45,18,1,1,1_1,AT2
H-32,all,8,6,1012,390,39,18132,0,0,0,0,0,H,2,Alveolar fibroblast 1,22,8,2,2,2_4,Artery
H-33,all,35,18,96,1852,32,43117,0,0,0,0,0,H,4,Alveolar fibroblast 1,43,17,1,1,1_5_1,LymphaticEndo
H-34,all,26,18,1026,266,13,50415,0,0,0,0,0,H,5,Capillary 1 cell,42,18,2,2,2_1,Capillary
H-35,all,26,19,1256,989,5,19735,0,0,0,0,0,H,6,Alveolar fibroblast 1,45,19,6,6,6,AT1
H-36,all,25,20,1814,707,15,44291,0,0,0,0,0,H,9,Interstitial macrophage,45,20,8,8,8_3,InterstitialMac
H-37,all,83,33,284,1634,23,140237,0,0,0,0,0,H,27,Secondary crest myofibroblast,59,33,3,3,3_1,SMC
H-38,all,54,31,1108,787,16,71154,0,0,0,0,0,H,15,Alveolar fibroblast 1,51,31,1,1,1_5_1,LymphaticEndo
H-39,all,31,22,1445,880,13,33627,0,0,0,0,0,H,4,Inflammatory monocyte,39,22,1,1,1_3,AT2
H-40,all,51,28,189,125,24,69027,0,0,0,0,0,H,8,Capillary 1 cell,49,27,2,2,2_1,Capillary
H-41,all,20,17,406,26,38,63758,0,0,0,0,0,H,3,Capillary 2 cell,42,17,2,2,2_6,pDC
H-43,all,86,41,1172,1148,16,94031,0,0,0,0,0,H,11,Endothelial progenitor cell,57,40,2,2,2_1,Capillary
H-44,all,103,36,1064,1470,21,93288,169,169,0,1,0,H,6,Alveolar type 1 cell,60,30,6,6,6,AT1
