x
I-2,Capillary
I-3,AT1
I-4,AT2
I-5,AT2
I-7,Capillary
I-8,PatrolMac
I-9,DC
I-10,Artery
I-11,pDC
I-14,DC
I-15,Vein
I-16,AT1
I-17,AT2
I-18,AT1
I-23,Capillary
I-25,AT2
I-30,Artery
I-31,Bcell
I-33,SMC
I-35,Pericyte
I-38,Capillary
I-41,LymphaticEndo
I-42,pDC
I-43,AT1
I-46,Capillary
I-47,AT1
I-48,Pericyte
I-49,AT1
I-50,AT2
I-51,Artery
I-53,AT2
I-54,Capillary
I-55,Pericyte
I-58,Bcell
I-60,SMC
I-61,Capillary
I-63,AT2
I-65,AT2
I-67,Tcell (CD8)
I-68,AT1
I-69,Vein
I-70,AT2
I-71,DC
I-73,Capillary
I-75,pDC
I-77,SMC
I-79,Capillary
I-81,Pericyte
I-82,AT1
I-83,AlveolarFib
I-87,AT1
I-88,AT2
I-89,AT2
I-90,AT2
I-93,AT2
I-95,Capillary
I-99,Capillary
I-100,Capillary
I-101,AT2
I-103,AT1
I-104,LymphaticEndo
I-105,AT1
I-106,SMC
I-108,SMC
I-110,AlveolarFib
I-111,Bcell
I-112,Capillary
I-113,Artery
I-114,AT2
I-116,Capillary
I-117,AlveolarMac
I-122,LymphaticEndo
I-123,AT2
I-125,AT1
I-126,AT2
I-127,PatrolMac
I-128,Capillary
I-130,Pericyte
I-131,AT1
I-134,Artery
I-135,SMC
I-136,Vein
I-139,LymphaticEndo
I-140,AT2
I-141,Vein
I-142,Pericyte
I-143,AlveolarFib
I-145,AT2
I-146,AT2
I-147,InflamMac
I-148,AT2
I-149,Capillary
I-150,Vein
I-152,AlveolarFib
I-153,Vein
I-156,LymphaticEndo
I-158,Capillary
I-161,AT2
I-163,Capillary
I-167,Capillary
I-168,AT1
I-173,AT1
I-174,Capillary
I-176,AdventitialFib
I-177,Capillary
I-178,InflamMac
I-179,SMC
I-180,pDC
I-181,AT2
I-185,Vein
I-186,AdventitialFib
I-187,Capillary
I-190,LymphaticEndo
I-191,Pericyte
I-194,AT1
I-195,Capillary
I-199,Artery
I-201,LymphaticEndo
I-205,AlveolarFib
I-206,LymphaticEndo
I-208,AlveolarFib
I-209,AT1
I-210,Pericyte
I-212,Vein
I-213,AT1
I-215,Bcell
I-217,AT1
I-219,Bcell
I-220,Capillary
I-223,AlveolarFib
I-224,DC
I-225,Neutrophil
I-226,AT2
I-227,Capillary
I-228,Capillary
I-229,AT1
I-235,AlveolarFib
I-236,AT2
I-240,AT2
I-241,SMC
I-242,pDC
I-243,SMC
I-245,LymphaticEndo
I-247,AT2
I-248,Capillary
I-251,Pericyte
I-252,AT1
I-255,pDC
I-258,Pericyte
I-260,AT2
I-262,AT1
I-263,Vein
I-267,SMC
I-268,Vein
I-269,SMC
I-270,Pericyte
I-271,PatrolMac
I-273,AT2
I-275,AT1
I-288,Pericyte
I-290,AT1
I-295,Capillary
I-298,LymphaticEndo
I-301,Capillary
I-311,AT1
I-313,InterstitialMac
I-319,Vein
I-320,AT2
I-324,AlveolarFib
I-326,AT2
I-329,InflamMac
I-333,CiliatedEpi
I-334,AdventitialFib
I-335,AlveolarMac
I-337,ClubEpi
I-339,ClubEpi
I-340,SMC
I-341,InflamMac
I-343,AdventitialFib
I-344,Tcell (CD4)
