orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
J-2,all,166,63,965,434,19,110115,0,0,0,0,0,J,13,CD4+ T cell,48,35,3,3,3_3,AdventitialFib
J-3,all,384,129,605,1671,21,98108,0,0,0,0,0,J,138,Arterial endothelial cell,42,25,4,4,4_1_2,ClubEpi
J-4,all,55,23,1734,1832,14,31389,0,0,0,0,0,J,19,Inflammatory monocyte,54,24,1,1,1_4_1,AlveolarFib
J-6,all,178,61,1452,1418,23,119572,0,0,0,0,0,J,13,B cell,53,34,7,7,7_2,PatrolMac
J-8,all,201,64,845,497,10,71875,0,0,0,0,0,J,10,Secretory cell,51,30,3,3,3_3,AdventitialFib
J-10,all,261,80,1112,242,31,110580,0,0,0,0,0,J,21,Inflammatory monocyte,45,30,3,3,3_3,AdventitialFib
J-11,all,84,30,1647,1703,32,100725,0,0,0,0,0,J,7,Alveolar fibroblast 1,57,30,7,7,7_3,Tcell (CD8)
J-12,all,61,36,348,717,38,25823,0,0,0,0,0,J,12,Inflammatory monocyte,57,37,3,3,3_5,SMC
J-14,all,186,67,1252,1942,22,100817,0,0,0,0,0,J,15,B cell,52,36,9,9,9,Bcell
J-16,all,437,134,469,1405,26,96737,0,0,0,0,0,J,131,Arterial endothelial cell,46,36,4,4,4_1_1,ClubEpi
J-17,all,177,72,469,1242,22,93202,0,0,0,0,0,J,63,Mesothelial cell,47,39,4,4,4_1_2,CiliatedEpi
J-18,all,183,75,70,472,12,43926,0,0,0,0,0,J,62,Endothelial progenitor cell,41,31,4,4,4_1_2,CiliatedEpi
J-19,all,90,36,351,62,16,55202,0,0,0,0,0,J,19,Alveolar fibroblast 2,60,36,1,1,1_2_3,Tcell (CD4)
J-20,all,83,29,1239,159,26,41920,0,0,0,0,0,J,6,B cell,56,29,9,9,9,Bcell
J-21,all,136,74,116,243,31,56522,0,0,0,0,0,J,22,Ciliated cell,35,25,4,4,4_1_3,ClubEpi
J-22,all,87,42,1354,1555,25,84737,0,0,0,0,0,J,19,B cell,60,42,9,9,9,Bcell
J-23,all,405,126,211,891,25,107308,0,0,0,0,0,J,94,Secretory cell,46,39,4,4,4_1_1,ClubEpi
J-25,all,45,21,1683,1248,19,43919,0,0,0,0,0,J,5,CD8+ T cell,47,22,2,2,2_2,InflamMac
J-26,all,116,43,1354,1940,16,59185,0,0,0,0,0,J,33,Alveolar fibroblast 1,48,27,2,2,2_2,InflamMac
J-27,all,104,40,1681,1155,20,69740,0,0,0,0,0,J,10,Inflammatory monocyte,62,39,2,2,2_5,DC
J-28,all,121,52,733,1554,12,94655,0,0,0,0,0,J,11,Mesothelial cell,43,26,2,2,2_2,InflamMac
J-29,all,42,24,299,377,39,17292,0,0,0,0,0,J,14,Secondary crest myofibroblast,43,24,3,3,3_2,SMC
J-31,all,64,25,601,992,14,23366,0,0,0,0,0,J,8,Inflammatory monocyte,56,27,2,2,2_5,DC
J-32,all,108,49,1096,577,36,44518,0,0,0,0,0,J,16,Secondary crest myofibroblast,60,41,1,1,1_2_3,Tcell (CD4)
J-33,all,59,31,553,1235,29,37689,0,0,0,0,0,J,8,Alveolar type 1 cell,57,32,3,3,3_2,SMC
J-34,all,223,88,295,1119,15,71073,0,0,0,0,0,J,27,Inflammatory monocyte,51,37,1,1,1_2_1,Tcell (CD4)
J-35,all,170,53,654,254,18,90669,50,0,50,0,1,J,16,CD4+ T cell,52,28,1,1,1_2_1,Tcell (CD4)
J-36,all,98,37,1272,1771,13,38135,0,0,0,0,0,J,5,T regulatory cell,62,37,1,1,1_2_1,Tcell (CD4)
J-37,all,164,58,1401,1458,20,89540,0,0,0,0,0,J,12,Alveolar type 1 cell,51,33,1,1,1_2_1,Tcell (CD4)
J-39,all,50,27,216,313,39,16083,0,0,0,0,0,J,19,Ciliated cell,41,26,4,4,4_1_2,CiliatedEpi
J-40,all,240,61,995,249,24,130278,0,0,0,0,0,J,10,CD4+ T cell,54,30,1,1,1_2_1,Tcell (CD4)
J-41,all,220,89,646,1672,34,57392,0,0,0,0,0,J,83,Inflammatory monocyte,48,45,4,4,4_1_2,CiliatedEpi
J-42,all,143,55,1001,1261,32,56690,0,0,0,0,0,J,23,Inflammatory monocyte,47,27,1,1,1_2_1,Tcell (CD4)
J-45,all,185,58,1142,1654,30,95858,0,0,0,0,0,J,25,T regulatory cell,57,35,7,7,7_2,PatrolMac
J-47,all,53,24,1862,1479,25,82798,0,0,0,0,0,J,23,T regulatory cell,52,25,1,1,1_4_1,AlveolarFib
J-48,all,259,92,220,573,30,74802,0,0,0,0,0,J,54,Alveolar type 1 cell,42,32,4,4,4_1_3,ClubEpi
J-49,all,96,36,1566,1408,22,53094,0,0,0,0,0,J,13,CD8+ T cell,58,35,2,2,2_2,InflamMac
J-50,all,169,74,205,426,22,80335,0,0,0,0,0,J,67,Alveolar fibroblast 1,39,29,4,4,4_1_2,CiliatedEpi
J-51,all,393,140,93,291,27,107626,0,0,0,0,0,J,85,Arterial endothelial cell,38,32,4,4,4_1_1,ClubEpi
J-52,all,38,16,1881,1767,31,45328,0,0,0,0,0,J,10,CD4+ T cell,44,16,1,1,1_2_1,Tcell (CD4)
J-53,all,372,117,152,414,26,120904,0,0,0,0,0,J,119,Alveolar fibroblast 1,43,30,4,4,4_1_2,ClubEpi
J-56,all,365,110,147,747,11,81795,0,0,0,0,0,J,121,Arterial endothelial cell,46,35,4,4,4_1_2,CiliatedEpi
J-57,all,53,27,627,974,21,24447,0,0,0,0,0,J,7,CD4+ T cell,53,27,1,1,1_2_1,Tcell (CD4)
J-59,all,159,59,285,307,23,95623,0,0,0,0,0,J,17,Proliferative mesenchymal progenitor cell,55,37,3,3,3_3,AdventitialFib
J-60,all,315,81,588,610,20,123163,0,0,0,0,0,J,16,Inflammatory monocyte,50,32,2,2,2_2,InflamMac
J-61,all,48,21,426,1006,21,61911,0,0,0,0,0,J,15,B cell,48,21,3,3,3_2,SMC
J-62,all,71,43,521,816,30,44006,0,0,0,0,0,J,12,Alveolar fibroblast 2,56,43,3,3,3_3,AdventitialFib
J-63,all,39,14,1703,1648,27,76538,0,0,0,0,0,J,11,CD4+ T cell,45,15,1,1,1_4_1,AlveolarFib
J-64,all,397,124,255,1004,24,96434,0,0,0,0,0,J,91,Capillary 1 cell,46,39,7,7,7_3,Tcell (CD8)
J-65,all,39,23,1877,1386,36,46799,0,0,0,0,0,J,3,CD4+ T cell,41,23,1,1,1_2_1,Tcell (CD4)
J-66,all,108,58,142,175,22,73122,0,0,0,0,0,J,40,Alveolar fibroblast 1,66,57,4,4,4_1_2,CiliatedEpi
J-67,all,485,140,584,1610,23,112055,0,0,0,0,0,J,198,Alveolar fibroblast 1,42,25,4,4,4_1_2,ClubEpi
J-69,all,55,27,392,675,34,35645,0,0,0,0,0,J,17,Proliferative mesenchymal progenitor cell,53,28,3,3,3_2,SMC
J-70,all,66,30,399,924,19,53820,0,0,0,0,0,J,33,Arterial endothelial cell,47,31,4,4,4_1_2,CiliatedEpi
J-73,all,213,56,1007,299,21,99432,0,0,0,0,0,J,14,CD4+ T cell,52,34,7,7,7_2,PatrolMac
J-74,all,402,126,253,1063,16,94363,0,0,0,0,0,J,98,Arterial endothelial cell,40,32,4,4,4_1_1,CiliatedEpi
J-75,all,34,23,631,1531,16,35176,0,0,0,0,0,J,3,CD4+ T cell,40,23,1,1,1_2_1,Tcell (CD4)
J-76,all,251,101,259,716,30,70475,0,0,0,0,0,J,87,Arterial endothelial cell,51,47,4,4,4_1_2,CiliatedEpi
J-78,all,103,39,1510,1351,19,48767,0,0,0,0,0,J,6,Alveolar type 1 cell,60,36,6,6,6,AT1
J-80,all,425,138,233,952,28,97744,0,0,0,0,0,J,68,Venous endothelial cell,40,33,7,7,7_3,Tcell (CD8)
J-81,all,105,42,690,421,6,40254,0,0,0,0,0,J,3,Mesothelial cell,58,34,3,3,3_3,AdventitialFib
J-82,all,106,47,1586,1312,23,70746,0,0,0,0,0,J,23,Capillary 2 cell,57,36,1,1,1_2_1,Tcell (CD4)
J-83,all,339,95,55,139,20,101444,0,0,0,0,0,J,144,Alveolar fibroblast 1,46,30,4,4,4_1_2,CiliatedEpi
J-84,all,259,65,1046,1198,28,115946,0,0,0,0,0,J,11,CD4+ T cell,51,23,1,1,1_2_1,Tcell (CD4)
J-86,all,45,25,1461,1516,27,18739,0,0,0,0,0,J,5,CD4+ T cell,48,27,2,2,2_5,DC
J-87,all,329,99,56,328,11,75871,0,0,0,0,0,J,134,Alveolar fibroblast 1,48,31,4,4,4_1_2,ClubEpi
J-89,all,80,41,1480,1304,23,32212,0,0,0,0,0,J,15,Alveolar type 1 cell,60,41,6,6,6,AT1
J-90,all,50,21,1498,1787,41,16250,0,0,0,0,0,J,2,CD4+ T cell,49,21,1,1,1_2_1,Tcell (CD4)
J-91,all,248,101,156,636,13,83958,0,0,0,0,0,J,56,Alveolar fibroblast 2,52,44,4,4,4_1_1,CiliatedEpi
J-92,all,44,25,879,118,15,15441,0,0,0,0,0,J,3,B cell,44,25,9,9,9,Bcell
J-94,all,132,54,818,45,19,65881,0,0,0,0,0,J,17,Mesothelial cell,48,30,3,3,3_3,AdventitialFib
J-95,all,153,51,456,492,13,54307,0,0,0,0,0,J,14,CD4+ T cell,51,27,1,1,1_6_2,Neutrophil
J-97,all,12,10,360,653,36,21174,0,0,0,0,0,J,3,CD4+ T cell,27,11,3,3,3_2,SMC
J-98,all,92,39,1466,1608,15,63197,0,0,0,0,0,J,12,Neutrophil,58,39,1,1,1_2_1,Tcell (CD4)
J-102,all,294,115,177,536,28,78168,0,0,0,0,0,J,92,Pericyte,40,38,4,4,4_1_1,CiliatedEpi
J-103,all,219,80,261,610,34,59388,0,0,0,0,0,J,100,Secretory cell,41,32,4,4,4_2,CiliatedEpi
J-104,all,104,47,675,1803,33,34040,0,0,0,0,0,J,52,Inflammatory monocyte,60,45,4,4,4_2,CiliatedEpi
J-105,all,147,59,976,1163,39,38210,0,0,0,0,0,J,14,Alveolar macrophage,48,29,1,1,1_2_3,Tcell (CD4)
J-106,all,280,104,138,536,19,61915,0,0,0,0,0,J,107,Arterial endothelial cell,51,45,4,4,4_1_1,CiliatedEpi
J-108,all,191,97,152,310,21,100697,0,0,0,0,0,J,61,Secretory cell,48,39,4,4,4_1_2,ClubEpi
J-109,all,243,94,215,665,24,70899,0,0,0,0,0,J,96,Secretory cell,46,31,4,4,4_1_2,ClubEpi
J-111,all,212,76,501,513,17,75541,0,0,0,0,0,J,16,Alveolar fibroblast 2,52,35,3,3,3_3,AdventitialFib
J-114,all,419,128,27,178,14,103437,0,0,0,0,0,J,123,Ciliated cell,43,27,4,4,4_1_1,ClubEpi
J-115,all,70,37,1293,1698,14,53131,0,0,0,0,0,J,6,Inflammatory monocyte,53,37,1,1,1_2_1,Tcell (CD4)
J-116,all,207,89,122,584,15,59559,0,0,0,0,0,J,50,Alveolar fibroblast 1,55,47,7,7,7_3,Tcell (CD8)
J-117,all,113,46,386,765,30,67871,0,0,0,0,0,J,20,Capillary 1 cell,48,27,3,3,3_1,SMC
J-118,all,120,49,1666,1328,31,62352,0,0,0,0,0,J,6,B cell,39,15,1,1,1_4_1,AlveolarFib
J-119,all,115,37,630,380,6,43052,0,0,0,0,0,J,10,Proliferative mesenchymal progenitor cell,48,19,3,3,3_3,AdventitialFib
J-120,all,118,44,1250,1651,15,44930,0,0,0,0,0,J,5,Innate lymphoid cell,45,23,2,2,2_5,DC
J-121,all,16,9,1319,1878,16,11734,0,0,0,0,0,J,2,B cell,32,9,9,9,9,Bcell
J-122,all,73,38,955,677,12,28068,0,0,0,0,0,J,4,Capillary 1 cell,53,38,1,1,1_2_1,Tcell (CD4)
J-125,all,220,65,484,92,21,95251,0,0,0,0,0,J,14,B cell,52,34,3,3,3_3,AdventitialFib
J-127,all,31,19,438,759,36,18840,0,0,0,0,0,J,5,CD4+ T cell,40,19,1,1,1_2_1,Tcell (CD4)
J-128,all,188,75,363,1198,11,50728,0,0,0,0,0,J,51,Arterial endothelial cell,46,32,4,4,4_1_1,CiliatedEpi
J-129,all,48,32,543,1302,24,78137,0,0,0,0,0,J,9,Alveolar fibroblast 1,48,32,1,1,1_2_1,Tcell (CD4)
J-130,all,27,19,223,245,26,17434,0,0,0,0,0,J,6,Venous endothelial cell,38,20,3,3,3_5,SMC
J-131,all,355,124,187,691,17,95356,0,0,0,0,0,J,104,Arterial endothelial cell,46,44,4,4,4_1_1,CiliatedEpi
J-132,all,237,104,207,737,16,93289,0,0,0,0,0,J,66,Arterial endothelial cell,46,39,4,4,4_1_1,CiliatedEpi
J-133,all,217,89,285,1154,9,43736,0,0,0,0,0,J,49,Venous endothelial cell,57,45,4,4,4_1_1,CiliatedEpi
J-134,all,353,129,92,380,16,95806,0,0,0,0,0,J,118,Ciliated cell,38,30,4,4,4_1_1,ClubEpi
J-135,all,401,119,658,1924,16,98429,0,0,0,0,0,J,171,Arterial endothelial cell,42,37,4,4,4_1_2,CiliatedEpi
J-136,all,39,24,816,1509,23,29314,0,0,0,0,0,J,3,Alveolar macrophage,42,25,3,3,3_2,SMC
J-137,all,177,76,326,829,33,62126,0,0,0,0,0,J,44,Arterial endothelial cell,42,30,4,4,4_1_2,CiliatedEpi
