,column,row,z,gene_name,cell_barcode,raw_cell_barcode,gridc_gridr_tilenum
0,1877,9,0,Ccr2,344,343,"0,0,56"
1,1742,105,0,Vegfa,7,6,"0,0,56"
2,1719,443,0,Pias1,22,21,"0,0,56"
3,1944,16,2,Usp18,274,273,"0,0,56"
4,1715,473,2,Mcl1,22,21,"0,0,56"
5,1743,105,3,Vegfa,7,6,"0,0,56"
6,1738,105,3,Rtkn2,7,6,"0,0,56"
7,1748,23,4,Il4ra,156,155,"0,0,56"
8,1733,129,4,Rtkn2,7,6,"0,0,56"
9,1650,130,4,Irf9,246,245,"0,0,56"
10,1631,138,4,Nr4a1,246,245,"0,0,56"
11,1743,86,5,Rtkn2,7,6,"0,0,56"
12,1695,127,5,Il18bp,217,216,"0,0,56"
13,1957,8,6,Ccr2,274,273,"0,0,56"
14,1741,16,6,Irf9,398,397,"0,0,56"
15,1731,21,6,Mmp3,398,397,"0,0,56"
16,1730,95,6,Vegfa,7,6,"0,0,56"
17,1622,132,6,Nr4a1,246,245,"0,0,56"
18,1830,277,6,Blvra,265,264,"0,0,56"
19,1724,440,6,Ifnar2,22,21,"0,0,56"
20,1944,2,7,Ccr2,274,273,"0,0,56"
21,1722,10,7,Rtkn2,398,397,"0,0,56"
22,1740,18,7,Irf9,398,397,"0,0,56"
23,1729,19,7,Mmp3,398,397,"0,0,56"
24,1745,66,7,Vegfa,41,40,"0,0,56"
25,1727,85,7,Vegfa,7,6,"0,0,56"
26,1727,87,7,Vegfa,7,6,"0,0,56"
27,1737,97,7,Vegfa,7,6,"0,0,56"
28,1743,100,7,Vegfa,7,6,"0,0,56"
29,1736,109,7,Rtkn2,7,6,"0,0,56"
30,1682,173,7,Il4ra,12,11,"0,0,56"
31,1824,308,7,Vegfa,183,182,"0,0,56"
32,1694,464,7,Vegfa,171,170,"0,0,56"
33,1955,10,8,Ccr2,274,273,"0,0,56"
34,1691,319,8,Sftpc,296,295,"0,0,56"
35,1874,327,8,Vegfa,183,182,"0,0,56"
36,1747,68,9,Il4ra,41,40,"0,0,56"
37,1736,89,9,Vegfa,7,6,"0,0,56"
38,1728,94,9,Vegfa,7,6,"0,0,56"
39,1740,102,9,Vegfa,7,6,"0,0,56"
40,1566,103,9,Ifnar2,45,44,"0,0,56"
41,1739,106,9,Vegfa,7,6,"0,0,56"
42,1778,134,9,Pias1,10,9,"0,0,56"
43,1608,422,9,Pias1,292,291,"0,0,56"
44,1595,428,9,Cd274,292,291,"0,0,56"
45,1704,442,9,Notch3,22,21,"0,0,56"
46,1885,11,10,Itgae,344,343,"0,0,56"
47,1760,36,10,Il6st,156,155,"0,0,56"
48,1731,92,10,Vegfa,7,6,"0,0,56"
49,1734,121,10,Vegfa,7,6,"0,0,56"
50,1775,133,10,Pias1,10,9,"0,0,56"
51,1767,142,10,Irf9,10,9,"0,0,56"
52,1830,257,10,Adam10,265,264,"0,0,56"
53,1826,282,10,Il4ra,265,264,"0,0,56"
54,1895,316,10,Blvra,183,182,"0,0,56"
55,1719,449,10,Ifnar2,22,21,"0,0,56"
56,1665,477,10,Blvra,171,170,"0,0,56"
57,1742,501,10,Cd274,43,42,"0,0,56"
58,1977,2,11,Ccr2,274,273,"0,0,56"
59,1898,4,11,Mcl1,344,343,"0,0,56"
60,1919,12,12,Traf6,274,273,"0,0,56"
61,1761,34,11,Il6st,156,155,"0,0,56"
62,1761,62,11,Rsad2,420,419,"0,0,56"
63,1762,64,11,Rsad2,420,419,"0,0,56"
64,1747,64,11,Il4ra,41,40,"0,0,56"
65,1747,66,11,Il4ra,41,40,"0,0,56"
