orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
B-2,all,72,27,417,1782,16,51414,0,0,0,0,0,B,41,Alveolar type 1 cell,54,27,1,1,1_4_3,AlveolarFib
B-3,all,35,26,618,886,22,52347,319,0,319,0,1,B,6,Capillary 1 cell,41,27,2,2,2_1,Capillary
B-4,all,63,20,573,1527,33,51482,0,0,0,0,0,B,33,Alveolar fibroblast 1,54,19,1,1,1_5_1,LymphaticEndo
B-5,all,29,14,767,1276,10,49691,0,0,0,0,0,B,11,Alveolar fibroblast 1,43,16,2,2,2_4,Artery
B-6,all,25,13,935,1137,34,42399,0,0,0,0,0,B,11,Interstitial macrophage,41,13,8,8,8_3,InterstitialMac
B-7,all,27,16,42,362,18,78372,0,0,0,0,0,B,13,Inflammatory monocyte,38,16,5,5,5_1,Pericyte
B-8,all,38,25,921,1748,19,99007,0,0,0,0,0,B,9,Alveolar fibroblast 1,42,26,1,1,1_5_1,LymphaticEndo
B-9,all,143,29,559,1744,29,78572,0,0,0,0,0,B,12,Alveolar fibroblast 1,48,14,6,6,6,AT1
B-12,all,59,28,558,1295,29,76838,0,0,0,0,0,B,22,Inflammatory monocyte,53,27,2,2,2_1,Capillary
B-15,all,42,18,1156,1063,32,67889,0,0,0,0,0,B,14,Alveolar fibroblast 1,44,18,1,1,1_5_1,LymphaticEndo
B-16,all,20,15,679,992,9,34593,0,0,0,0,0,B,9,Alveolar fibroblast 1,38,17,2,2,2_4,Artery
B-17,all,33,15,309,1824,8,26634,0,0,0,0,0,B,6,Alveolar type 1 cell,42,15,6,6,6,AT1
B-18,all,64,29,136,455,25,87903,0,0,0,0,0,B,35,Alveolar type 2 cell,57,30,1,1,1_4_3,AlveolarFib
B-19,all,32,20,875,29,17,69085,0,0,0,0,0,B,4,Basophil,40,20,7,7,7_4,PatrolMac
B-21,all,36,18,535,161,29,45426,0,0,0,0,0,B,8,Alveolar fibroblast 1,43,19,1,1,1_4_1,AlveolarFib
B-22,all,32,14,185,236,26,68210,0,0,0,0,0,B,16,Alveolar type 1 cell,42,15,1,1,1_4_3,AlveolarFib
B-23,all,55,21,119,393,28,72449,0,0,0,0,0,B,10,Neutrophil,52,21,6,6,6,AT1
B-24,all,40,21,26,186,23,62177,0,0,0,0,0,B,12,Arterial endothelial cell,43,22,2,2,2_4,Artery
B-26,all,48,27,160,582,27,97228,0,0,0,0,0,B,19,Pericyte,48,27,5,5,5_1,Pericyte
B-28,all,65,30,1367,1133,13,77111,0,0,0,0,0,B,5,Alveolar fibroblast 1,55,30,2,2,2_1,Capillary
B-30,all,154,31,378,180,25,67889,0,0,0,0,0,B,127,Secretory cell,52,10,4,4,4_2,ClubEpi
B-31,all,41,13,105,1823,25,63900,0,0,0,0,0,B,16,B cell,45,14,2,2,2_2,InflamMac
B-32,all,82,28,1110,799,25,106825,0,0,0,0,0,B,26,CD4+ T cell,56,28,7,7,7_2,PatrolMac
B-33,all,61,31,798,469,22,77412,0,0,0,0,0,B,9,Venous endothelial cell,53,31,2,2,2_1,Capillary
B-34,all,30,16,648,893,9,35082,415,0,415,0,1,B,10,Alveolar macrophage,44,16,2,2,2_1,Capillary
B-35,all,20,13,599,1271,8,31192,0,0,0,0,0,B,8,Capillary 1 cell,38,13,2,2,2_1,Capillary
B-36,all,62,39,1523,1582,28,66175,0,0,0,0,0,B,20,B cell,57,39,3,3,3_4,AdventitialFib
B-37,all,56,31,705,329,26,58243,0,0,0,0,0,B,12,Inflammatory monocyte,55,32,2,2,2_2,InflamMac
B-38,all,77,34,605,844,25,75842,0,0,0,0,0,B,15,Alveolar type 1 cell,54,34,2,2,2_1,Capillary
B-40,all,61,32,1359,1090,24,69463,0,0,0,0,0,B,6,Inflammatory monocyte,56,33,3,3,3_1,SMC
B-41,all,44,24,576,1917,21,67486,0,0,0,0,0,B,10,Pericyte,44,24,5,5,5_1,Pericyte
