orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
I-2,all,19,16,239,1465,23,92629,0,0,0,0,0,I,4,Capillary 1 cell,39,17,2,2,2_1,Capillary
I-3,all,90,28,346,35,23,84415,0,0,0,0,0,I,12,Alveolar type 1 cell,56,27,6,6,6,AT1
I-4,all,80,23,1206,30,35,55884,0,0,0,0,0,I,59,Alveolar type 2 cell,55,23,1,1,1_1,AT2
I-5,all,124,16,919,818,22,91590,0,0,0,0,0,I,106,Alveolar type 2 cell,48,8,1,1,1_1,AT2
I-7,all,9,6,412,1517,15,42061,0,0,0,0,0,I,2,Alveolar fibroblast 1,29,6,2,2,2_1,Capillary
I-8,all,71,32,1573,307,29,72518,0,0,0,0,0,I,6,Alveolar fibroblast 1,54,32,7,7,7_2,PatrolMac
I-9,all,52,25,1725,398,31,93501,0,0,0,0,0,I,7,Natural killer cell,55,27,2,2,2_5,DC
I-10,all,9,6,1793,723,14,50311,0,0,0,0,0,I,4,Arterial endothelial cell,31,8,2,2,2_4,Artery
I-11,all,16,11,279,908,32,52873,0,0,0,0,0,I,3,Capillary 2 cell,34,11,2,2,2_6,pDC
I-14,all,48,31,984,556,33,70623,0,0,0,0,0,I,4,Inflammatory monocyte,49,32,2,2,2_5,DC
I-15,all,13,9,1034,1253,11,58984,0,0,0,0,0,I,5,Capillary 1 cell,33,9,2,2,2_3,Vein
I-16,all,44,15,1116,982,22,56961,0,0,0,0,0,I,4,Inflammatory monocyte,46,15,6,6,6,AT1
I-17,all,17,7,1104,884,39,21889,0,0,0,0,0,I,12,Alveolar type 2 cell,39,7,1,1,1_1,AT2
I-18,all,41,19,1239,1288,15,52732,0,0,0,0,0,I,10,Alveolar type 1 cell,45,19,6,6,6,AT1
I-23,all,15,10,1698,293,36,46949,0,0,0,0,0,I,2,Capillary 1 cell,37,10,2,2,2_1,Capillary
I-25,all,60,10,1566,644,18,53864,0,0,0,0,0,I,49,Alveolar type 2 cell,51,10,1,1,1_3,AT2
I-30,all,53,28,1240,302,21,94238,0,0,0,0,0,I,14,Alveolar fibroblast 1,53,29,2,2,2_4,Artery
I-31,all,28,16,1543,442,23,93164,0,0,0,0,0,I,7,B cell,39,16,9,9,9,Bcell
I-33,all,24,15,1219,1347,15,43200,0,0,0,0,0,I,12,Alveolar macrophage,44,16,3,3,3_1,SMC
I-35,all,77,41,1084,22,23,137027,0,0,0,0,0,I,20,Neutrophil,60,41,5,5,5_1,Pericyte
I-38,all,23,19,1682,193,30,48274,0,0,0,0,0,I,2,Capillary 1 cell,43,18,2,2,2_1,Capillary
I-41,all,34,19,591,904,24,97133,0,0,0,0,0,I,10,Alveolar fibroblast 1,42,19,1,1,1_5_1,LymphaticEndo
I-42,all,17,13,211,381,35,46984,0,0,0,0,0,I,2,Alveolar fibroblast 1,34,13,1,1,1_5_4,pDC
I-43,all,13,10,689,426,21,46761,0,0,0,0,0,I,3,Capillary 1 cell,29,10,6,6,6,AT1
I-46,all,13,9,1377,55,23,26729,0,101,0,1,0,I,3,Endothelial progenitor cell,30,10,2,2,2_1,Capillary
I-47,all,34,21,1278,1284,22,62016,0,0,0,0,0,I,4,Pericyte,42,21,6,6,6,AT1
I-48,all,32,17,1647,248,34,60339,0,0,0,0,0,I,14,Pericyte,42,17,5,5,5_1,Pericyte
I-49,all,7,6,1906,1147,15,28399,0,0,0,0,0,I,4,Capillary 2 cell,27,8,6,6,6,AT1
I-50,all,46,13,180,548,23,77991,0,0,0,0,0,I,35,Alveolar type 2 cell,47,13,1,1,1_1,AT2
I-51,all,17,15,1707,149,27,40414,0,0,0,0,0,I,3,Arterial endothelial cell,38,16,2,2,2_4,Artery
I-53,all,25,8,241,1881,37,27325,0,0,0,0,0,I,22,Alveolar type 2 cell,45,8,1,1,1_3,AT2
I-54,all,38,25,216,801,18,71119,0,0,0,0,0,I,9,Arterial endothelial cell,43,24,2,2,2_1,Capillary
I-55,all,8,6,1625,709,32,44163,0,0,0,0,0,I,3,Secondary crest myofibroblast,26,7,5,5,5_1,Pericyte
I-58,all,37,26,714,549,27,82405,0,0,0,0,0,I,10,Innate lymphoid cell,40,26,9,9,9,Bcell
I-60,all,13,9,1282,885,17,30464,0,0,0,0,0,I,5,Proliferative mesenchymal progenitor cell,31,10,3,3,3_1,SMC
I-61,all,14,11,612,845,21,61850,0,0,0,0,0,I,5,Capillary 1 cell,32,11,2,2,2_1,Capillary
I-63,all,25,9,1093,853,36,34096,0,0,0,0,0,I,17,Sox9+/Id2+ epithelial cell,47,9,1,1,1_1,AT2
I-65,all,19,5,27,654,5,14973,0,0,0,0,0,I,16,Alveolar type 2 cell,41,5,1,1,1_1,AT2
I-67,all,25,15,95,599,24,92078,0,0,0,0,0,I,7,Arterial endothelial cell,44,15,7,7,7_3,Tcell (CD8)
I-68,all,9,8,808,83,17,37279,0,0,0,0,0,I,4,Alveolar fibroblast 1,26,8,6,6,6,AT1
I-69,all,7,5,64,1530,13,18918,0,0,0,0,0,I,3,Capillary 1 cell,31,7,2,2,2_3,Vein
I-70,all,12,10,976,644,24,44144,0,0,0,0,0,I,3,AT1/AT2,34,10,1,1,1_3,AT2
I-71,all,10,9,6,1030,23,33295,0,0,0,0,0,I,2,Innate lymphoid cell,27,11,2,2,2_5,DC
I-73,all,30,17,401,315,38,76945,0,0,0,0,0,I,7,Capillary 1 cell,40,17,2,2,2_1,Capillary
