,AirwayEpithelial,AT1,AT2,Fibroblast,VascularSMC,BloodEndothelial,Monocyte,AlveolarMac,pDC,Granulocytes,Neutrophil,Tcell,Bcell
0,8,,,50,,40,30,0,,33.33333333333333,,12.5,0
1,,,,,,,,,,,,0,
2,0,,,,,0,,,,,,0,
3,0,0,0,,,,50,,,,,,
4,,,,,,,,,,,,,50
5,0,,,,,,,,,,,,
6,,,,,,,,,,,,0,
7,33.5483871,40,19.047619047619047,15.384615384615383,66.66666666666666,,3.7037037037037033,20,,0,57.14285714285714,24.285714285714285,25
8,0,66.66666666666666,11.11111111111111,25,,100,25,,,,0,42.85714285714285,0
9,,,0,,,,,,,,,,
10,0,,,0,,,,,,,,27.27272727272727,
11,,,,,,,,,,,,0,
12,,,,,,,,,,,,33.33333333333333,
13,,,,,,,,,,,,,
14,25,,20,33.33333333333333,,,0,,50,,,40,50
15,,,,,,,,,,,,,
16,,,,,,,,,,,,33.33333333333333,
17,,,0,,,,,,,,,0,
18,,10,33.33333333333333,,,,,,,,,0,
19,,,,,,,,,,,,,
20,,,,,,,50,,,,,,
21,33.33333333333333,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,0,
24,,,,,,,,,,,,,
25,,,,,,,,,,,,0,0
26,,33,,,,,,,,,,25,
27,,,,,,,,,,,,,
28,9.090909090909092,33,20,18.181818181818183,,66.66666666666666,7.142857142857142,0,25,25,50,33.33333333333333,50
29,0,,,,,,0,,,33.33333333333333,,0,
30,,,0,,,,,,,,,,
31,0,,0,,,,,,,,,,
32,,,,,,,,,,,,100,
33,,,,,,,,,,,,0,
34,27.27272727272727,0,50,66.66666666666666,,100,0,,,100,,0,50
35,50,,33.33333333333333,0,,,,,,,,20,
36,0,,,,,,,,,,,0,
37,,,,,,,,,,,,,
38,,,,,,,,,,,,,
39,,,,,,,0,,,,,,
40,,,0,,,,,,,,,,
41,,,,,,,,,,,,0,
42,,,,,,,50,,,,,,
43,,,,,,,,,,,,25,
44,,,,,,,,,,,,,
